University Name,Subject,Ranking Instituion,Year,World Rank,Total Score
Queensland University of Technology,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Saint Petersburg State University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Technion-Israel Institute of Technology,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
The University of Glasgow,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Tianjin University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Aberdeen,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Arizona,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Basel,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
"University of California, Santa Barbara",Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Cergy-Pontoise,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Gothenburg,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Illinois at Chicago,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Kaiserslautern,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of L'Aquila,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Lille,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Ljubljana,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Massachusetts Amherst,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Missouri - Columbia,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Montpellier,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Nantes,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Oregon,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Padua,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Parma,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Perugia,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Seville,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of South Florida,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Turin,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Victoria,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
University of Waterloo,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Xiangtan University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Yeungnam University,Mathematics,ShanghaiRanking-ARWU,2020,151-200,
Autonomous University of Barcelona,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Beihang University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Beijing Institute of Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Beni-Suef University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Central China Normal University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Changsha University of Science and Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Dalian University of Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Delft University of Technology,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
East China Normal University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Florida State University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Guizhou University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Hohai University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
Hong Kong Baptist University,Mathematics,ShanghaiRanking-ARWU,2020,201-300,
