Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
82,普渡大学Purdue University,United States,47.8,66.6,58.6,66.1,62.4,59.0,免费评估
84,University of Freiburg,Germany,43.9,66.0,43.3,77.6,100.0,58.6,免费评估
85,东英吉利大学University of East Anglia,United Kingdom,28.4,79.4,35.9,97.5,29.3,58.5,免费评估
86,Swedish University of Agricultural Sciences,Sweden,52.8,51.8,49.6,71.3,48.4,58.3,免费评估
87,加州大学河滨分校University of California-Riverside,United States,40.6,53.2,50.7,78.6,56.3,58.1,免费评估
88,布朗大学Brown University,United States,51.3,49.0,31.4,87.4,31.8,57.8,免费评估
88,新南威尔士大学The University of New South Wales,Australia,31.4,88.9,47.0,80.6,51.1,57.8,免费评估
90,"University of California, Santa Cruz",United States,31.9,44.2,35.7,99.9,29.4,57.6,免费评估
90,École Normale Supérieure,France,36.5,82.0,35.2,86.4,57.4,57.6,免费评估
90,埃克塞特大学University of Exeter,United Kingdom,28.4,68.6,34.5,97.3,45.2,57.6,免费评估
93,Arizona State University,United States,24.8,51.9,40.2,99.0,34.1,57.3,免费评估
93,雷丁大学University of Reading,United Kingdom,47.5,82.0,36.8,75.9,54.0,57.3,免费评估
95,詹姆斯·库克大学James Cook University,Australia,27.6,87.0,33.7,90.9,80.2,57.2,免费评估
96,佛罗里达大学University of Florida,United States,58.4,34.5,67.2,52.5,56.0,56.9,免费评估
96,University of Vienna,Austria,44.0,90.1,38.9,75.8,31.6,56.9,免费评估
98,Aarhus University,Denmark,36.9,79.1,48.5,73.0,70.6,56.8,免费评估
99,Korea Advanced Institute of Science and Technology (KAIST),"Korea, Republic of",33.6,31.7,39.8,90.3,100.0,56.7,免费评估
100,Pohang University of Science and Technology,"Korea, Republic of",32.5,35.2,37.4,92.0,99.7,56.5,免费评估
