Rank,University,Country,Score,Free
172,National Sun Yat-Sen University,Taiwan,40.1,免费评估
172,Norwegian University of Science and Technology,Norway,40.1,免费评估
174,University of Texas--Dallas,United States,39.9,免费评估
175,Southwest Jiaotong University,China,39.8,免费评估
176,University of Houston,United States,39.3,免费评估
177,西北大学Northwestern University,United States,38.8,免费评估
177,University of Chile,Chile,38.8,免费评估
179,University of Pittsburgh,United States,38.7,免费评估
180,Tohoku University,Japan,38.5,免费评估
181,Aristotle University of Thessaloniki,Greece,38.3,免费评估
181,Communaute Universite Grenoble Alpes,France,38.3,免费评估
181,芝加哥大学The University of Chicago,United States,38.3,免费评估
184,Amirkabir University of Technology (AUT),Iran,38.2,免费评估
185,Nanjing University of Science & Technology,China,38.0,免费评估
186,杜克大学Duke University,United States,37.5,免费评估
186,伯明翰大学University of Birmingham,United Kingdom,37.5,免费评估
188,Shanghai University,China,37.3,免费评估
189,State University of Campinas,Brazil,37.2,免费评估
190,University of Pisa,Italy,37.1,免费评估
191,Xiamen University,China,36.9,免费评估
192,Universite Lille-Nord-de-France (ComUE),France,36.7,免费评估
193,Concordia University,Canada,36.6,免费评估
193,宾夕法尼亚大学University of Pennsylvania,United States,36.6,免费评估
195,Middle East Technical University,Turkey,36.5,免费评估
195,Stony Brook University--SUNY,United States,36.5,免费评估
197,Kyung Hee University,South Korea,36.1,免费评估
197,RWTH Aachen University,Germany,36.1,免费评估
199,University of Coimbra,Portugal,36.0,免费评估
200,University of Stuttgart,Germany,35.4,免费评估
