Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
223,Universität Hamburg,Germany,56.6,44,51.7,23,26.6,-,44.2,免费评估
224,Queen's University at Kingston,Canada,43.9,70.5,-,73.8,25.6,61.9,44.0,免费评估
224,Technion - Israel Institute of Technology,Israel,40.6,40,-,63.1,-,79.4,44.0,免费评估
224,纽卡斯尔大学The University of Newcastle,Australia,40,37,28.4,99.5,74.6,49.1,44.0,免费评估
227,乔治城大学Georgetown University,United States,41.8,53.2,62.5,21.1,52.1,27.5,43.8,免费评估
228,萨塞克斯大学The University of Sussex,United Kingdom,36.6,-,31.7,94.1,97.9,54.7,43.7,免费评估
229,Universiti Putra Malaysia (UPM),Malaysia,49,34.4,56,43,73,-,43.6,免费评估
230,Universiti Kebangsaan Malaysia (UKM),Malaysia,49.6,35.1,66.5,44.7,39.9,-,43.4,免费评估
230,The University of Arizona,United States,51.3,-,-,-,-,66.4,43.4,免费评估
232,伍伦贡大学University of Wollongong,Australia,33.1,49.3,-,98,81.8,59.4,43.3,免费评估
233,University Complutense Madrid,Spain,68.9,76.8,-,-,33.8,-,43.2,免费评估
234,拉夫堡大学Loughborough University,United Kingdom,35.3,69.2,32.1,79,66.1,41.4,43.1,免费评估
235,American University of Beirut (AUB),Lebanon,-,83.7,64.6,99.2,68,-,43.0,免费评估
236,Al-Farabi Kazakh National University,Kazakhstan,38.6,50.8,99,30.9,-,-,42.9,免费评估
236,Université Grenoble-Alpes,France,69.5,-,-,20.9,32.5,38.2,42.9,免费评估
238,莱斯特大学University of Leicester,United Kingdom,28.7,-,46.2,87.1,91.1,50.9,42.8,免费评估
239,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,56.6,-,47.9,-,31.2,23.7,42.6,免费评估
240,麦考瑞大学Macquarie University,Australia,41.2,55.6,-,85.9,78.2,47.2,42.5,免费评估
240,Saint Petersburg State University,Russia,42.4,35.2,97.7,-,28.6,-,42.5,免费评估
242,Université Paris-Sud,France,34.7,34,78.1,42.5,46.7,24.1,42.3,免费评估
243,National University of Ireland Galway,Ireland,28.4,45.1,73.5,89.8,66.2,-,42.0,免费评估
243,塔夫茨大学Tufts University,United States,-,-,66.1,56.3,33.3,62.8,42.0,免费评估
245,Chulalongkorn University,Thailand,74.5,48.1,-,-,-,-,41.8,免费评估
245,西蒙弗雷泽大学Simon Fraser University,Canada,31.5,-,-,94.2,91.9,78,41.8,免费评估
247,昆士兰科技大学Queensland University of Technology,Australia,46.7,63,-,97.2,42.9,36.8,41.6,免费评估
247,皇家墨尔本理工大学Royal Melbourne Institute of Technology Universi,Australia,43.8,74.8,-,100,84.4,23,41.6,免费评估
249,"马萨诸塞大学安姆斯特分校University of Massachusetts, Amherst",United States,51.9,-,-,-,-,63.1,41.5,免费评估
250,Novosibirsk State University,Russia,37.6,43.6,82.4,-,56.3,-,41.3,免费评估
250,University of Tsukuba,Japan,42.4,-,70.7,-,32,23.8,41.3,免费评估
252,迈阿密大学University of Miami,United States,-,-,85.8,-,46.9,46.5,41.2,免费评估
253,Universiti Teknologi Malaysia,Malaysia,32.8,38.9,85.9,35.2,51.4,-,41.1,免费评估
254,Universidad Nacional de Colombia,Colombia,72,82.7,-,-,-,-,40.9,免费评估
254,Universität Frankfurt am Main,Germany,58.5,58.4,-,-,38.3,-,40.9,免费评估
256,Beijing Normal University,China,49.3,-,32,33.3,-,44.5,40.6,免费评估
256,Kyung Hee University,South Korea,34.7,61.6,71.4,-,28.3,-,40.6,免费评估
256,Universidad de los Andes,Colombia,66,77.2,-,30.9,-,-,40.6,免费评估
259,Norwegian University of Science And Technology,Norway,36.4,47.9,38.4,72,-,43.9,40.5,免费评估
259,伦敦大学皇家霍洛威学院Royal Holloway University of London,United Kingdom,-,-,26.7,98.2,99,63.4,40.5,免费评估
259,Universität Stuttgart,Germany,36.2,71.7,-,35,62,48.8,40.5,免费评估
262,科廷大学Curtin University,Australia,38.7,49.1,-,100,64.7,35,40.4,免费评估
263,北卡罗来纳州立大学North Carolina State University at Raleigh,United States,41.3,-,36,60.8,40,46.7,40.3,免费评估
264,Indian Institute of Technology Madras (IITM),India,41.1,51.6,-,-,-,67.6,40.2,免费评估
264,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,30.1,-,79.5,-,28.5,37.1,40.2,免费评估
264,Universiti Sains Malaysia (USM),Malaysia,48.2,43.8,46.7,27.2,27.5,-,40.2,免费评估
267,King Abdulaziz University (KAU),Saudi Arabia,31.1,-,67.5,98.9,66,-,40.1,免费评估
267,邓迪大学University of Dundee,United Kingdom,-,-,80.9,87.6,74.8,25.7,40.1,免费评估
269,Université Paris 1 Panthéon-Sorbonne,France,63.4,78.8,-,22.2,77.5,-,40.0,免费评估
270,Ecole des Ponts ParisTech,France,-,82.5,93,-,99.7,-,39.8,免费评估
270,University of Navarra,Spain,33.3,85.7,52.2,-,55.3,-,39.8,免费评估
272,Technische Universität Darmstadt,Germany,-,87.6,-,55.5,49.7,69.6,39.6,免费评估
