Ranking,University Name,Average Teaching Score,NSS Teaching,NSS overall,expenditure pre student,Student:taff ratio,Career prospects,Value added score,Entry Tariff,NSS Feedback,Free
100,约克圣约翰大学York St John University,43.8,87.0,84.0,5.36,21.4,50,3.7,281,71.0,免费评估
101,纽曼大学学院,43.4,86.0,81.0,3.61,18.0,59,3.1,239,72.0,免费评估
102,哥比亚大学University of Cumbria,43.0,82.0,75.0,4.09,17.2,59,5.0,263,65.0,免费评估
102,贝德福德大学University of Bedfordshire,42.9,84.0,79.0,5.86,19.4,53,5.0,207,70.0,免费评估
102,伦敦南岸大学London South Bank University,41.8,80.0,77.0,4.46,22.4,56,5.5,215,62.0,免费评估
105,坎特伯雷大学Canterbury Christ Church University,40.9,84.0,82.0,3.25,17.6,59,5.2,255,67.0,免费评估
106,格林多大学Glyndwr University,40.4,84.0,79.0,3.27,21.0,61,4.5,211,74.0,免费评估
107,西苏格兰大学University of the West of Scotland,39.6,83.0,82.0,3.56,22.2,56,3.7,272,65.0,免费评估
108,曼彻斯特城市大学Manchester Metropolitan University,39.4,78.0,75.0,3.0,19.1,52,4.8,291,63.0,免费评估
109,罗汉普顿大学Roehampton University,39.1,83.0,79.0,2.81,20.8,57,4.2,258,65.0,免费评估
109,威尔士大学三一圣大卫学院,38.9,84.0,81.0,4.31,18.8,43,2.4,246,66.0,免费评估
111,纽波特大学University of Wales Newport,38.8,81.0,76.0,4.14,24.8,46,3.0,259,72.0,免费评估
112,利兹都会大学Leeds Metropolitan University,37.1,79.0,77.0,3.34,19.5,49,4.1,262,63.0,免费评估
112,利兹三一大学学院,36.8,85.0,83.0,1.98,23.9,62,1.9,264,73.0,免费评估
114,萨福克大学,36.2,81.0,74.0,,19.0,48,2.2,263,69.0,免费评估
115,东伦敦大学University of East London,34.7,82.0,81.0,3.3,23.7,45,3.8,195,69.0,免费评估
116,新白金汉大学Buckinghamshire New University,32.4,79.0,74.0,3.86,23.3,47,3.3,230,70.0,免费评估
117,南安普顿索伦特大学Southampton Solent University,31.2,76.0,72.0,3.37,21.2,40,2.4,265,62.0,免费评估
118,伦敦城市大学City University London,30.5,76.0,73.0,2.94,19.2,42,6.0,224,58.0,免费评估
119,阿伯泰邓迪大学University of Abertay Dundee,30.2,,,2.09,25.2,47,4.9,277,,免费评估
120,波尔顿大学University of Bolton,28.9,81.0,79.0,3.05,19.6,34,3.1,231,67.0,免费评估
