Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
34,布里斯托大学University of Bristol,66.1,86.2,89.2,66.7,14.1,5.3,482.8,5.9,79.5,免费评估
35,伦敦城市大学City University London,66.0,87.4,85.7,71.7,17.5,6.8,394.6,5.9,71.1,免费评估
36,伦敦大学皇家霍洛威学院Royal Holloway University of London,65.2,88.9,90.3,70.4,15.4,4.3,405.1,5.2,63.7,免费评估
37,谢菲尔德大学The University of Sheffield,65.1,89.9,90.2,70.0,14.9,5.7,438.8,5.5,72.2,免费评估
38,思克莱德大学University of Strathclyde,64.8,87.2,88.0,63.5,19.3,6,470.2,5.3,75.0,免费评估
39,牛津布鲁克斯大学Oxford Brookes University,64.6,85.5,89.3,73.2,16.9,5.6,369.5,6.2,63.5,免费评估
40,伦敦国王学院King's College London,64.5,82.9,87.0,65.4,11.4,6.6,469.7,6.2,82.2,免费评估
41,阿伯丁大学University of Aberdeen,62.5,88.0,88.9,67.1,15.5,4.9,444.3,5.3,76.6,免费评估
41,基尔大学Keele University,62.5,91.9,90.5,73.1,15.2,3.7,383.5,5.6,69.3,免费评估
43,萨塞克斯大学University of Sussex,61.9,88.7,88.5,65.0,16.5,6,408.6,5.5,54.9,免费评估
44,北安普顿大学The University of Northampton,61.7,86.8,89.1,77.4,19.8,6.3,280.2,6.5,58.4,免费评估
45,利物浦大学The University of Liverpool,61.3,88.3,87.4,68.4,12.7,6.6,414.2,5.7,72.2,免费评估
46,英国女王大学Queen's University Belfast,60.8,87.9,89.6,72.9,15.5,4.6,391.1,5.0,75.3,免费评估
47,邓迪大学University of Dundee,60.5,90.3,89.7,69.8,14.9,5.7,408.7,5.8,71.5,免费评估
48,伦敦大学金史密斯学院Goldsmiths University of London,60.0,88.5,91.3,70.3,16.9,3.8,345.8,6.5,53.4,免费评估
49,西英格兰大学University of the West of England,59.7,88.0,88.9,71.0,20.0,3.3,339.2,7.7,68.5,免费评估
50,德比大学University of Derby,59.3,86.5,88.5,76.2,16.8,5.1,305.8,5.2,56.4,免费评估
51,罗伯特高登大学The Robert Gordon University,59.1,87.9,86.3,70.4,19.3,3.6,384.2,4.8,82.4,免费评估
52,布鲁内尔大学Brunel University,58.7,86.7,84.4,72.5,16.9,5.8,352.2,4.5,60.7,免费评估
53,法尔茅斯大学Falmouth University,58.6,70.5,79.1,65.6,23.0,6.4,316.2,5.5,61.8,免费评估
54,埃塞克斯大学University of Essex,58.5,86.3,85.9,72.1,16.1,4.7,343.0,4.7,52.4,免费评估
55,朴茨茅斯大学University of Portsmouth,58.4,87.4,86.9,70.4,18.6,4.9,314.0,7.2,63.2,免费评估
56,哈德斯菲尔德大学University of Huddersfield,58.3,86.2,87.5,78.6,18.3,3.7,334.6,5.6,67.3,免费评估
57,诺丁汉特伦特大学Nottingham Trent University,57.8,86.3,85.1,72.8,17.2,4.4,320.0,5.6,62.6,免费评估
57,斯旺西大学Swansea University,57.8,84.5,85.9,68.8,15.5,4.8,340.4,5.7,77.8,免费评估
59,温切斯特大学University of Winchester,57.6,89.4,91.5,77.7,17.3,3,322.3,6.4,53.9,免费评估
60,诺桑比亚大学Northumbria University,57.4,87.1,86.5,72.8,18.5,4.3,365.5,5.7,62.1,免费评估
61,切斯特大学University of Chester,57.3,86.7,87.2,74.6,16.9,4.4,302.4,4.5,70.8,免费评估
62,布莱顿大学University of Brighton,56.9,83.2,84.7,70.7,18.3,4,315.7,6.1,59.1,免费评估
63,斯特林大学University of Stirling,56.6,85.8,87.8,66.5,15.7,4.2,380.2,3.9,64.3,免费评估
64,格林多大学Glyndwr University,55.7,80.8,83.3,75.2,20.1,3.9,287.4,4.7,62.5,免费评估
65,林肯大学University of Lincoln,55.3,84.4,85.1,72.0,18.6,4.1,337.7,3.4,69.5,免费评估
66,赫特福德大学University of Hertfordshire,55.2,81.8,82.6,66.5,18.3,4.9,343.9,6.8,62.0,免费评估
67,中央兰开夏大学University of Central Lancashire,55.1,85.7,85.7,75.1,17.2,5.8,336.9,4.2,55.6,免费评估
68,普利茅斯大学University of Plymouth,54.8,85.3,87.5,70.3,16.2,6,315.7,5.1,58.2,免费评估
69,巴斯斯巴大学Bath Spa University,54.5,87.8,89.7,75.7,20.0,4.5,331.8,5.7,58.0,免费评估
69,玛格丽特女王大学Queen Margaret University,54.5,83.7,88.1,61.9,20.5,2.9,338.8,6.9,68.4,免费评估
71,伯恩茅斯大学Bournemouth University,53.8,79.4,83.7,68.9,21.6,5.8,336.4,5.5,64.2,免费评估
71,曼彻斯特城市大学Manchester Metropolitan University,53.8,82.1,83.3,71.2,18.2,3.2,343.7,5.8,58.3,免费评估
73,谢菲尔德哈莱姆大学Sheffield Hallam University,53.5,81.8,84.5,69.2,18.4,4.8,321.1,6.6,57.8,免费评估
74,格罗斯特大学University of Gloucestershire,53.3,82.4,84.9,73.2,23.6,4.8,295.1,7.4,61.3,免费评估
75,艾芝西尔大学Edge Hill University,53.0,87.0,88.0,78.0,16.8,3.8,307.8,4.4,61.0,免费评估
75,赫尔大学The University of Hull,53.0,89.5,89.4,73.3,17.8,4.2,332.8,5.4,55.5,免费评估
77,桑德兰大学University of Sunderland,52.9,82.5,85.6,72.9,17.9,6.9,302.7,4.3,49.7,免费评估
78,龙比亚大学Napier University,52.6,83.7,86.9,70.9,21.6,3.8,348.0,7.0,63.3,免费评估
78,萨福克学院University Campus Suffolk,52.6,82.8,84.5,74.8,19.2,–,338.1,4.0,60.9,免费评估
80,奇切斯特大学University of Chichester,52.5,87.4,89.5,74.4,18.7,3.3,305.7,5.3,61.1,免费评估
80,利物浦约翰摩尔斯大学Liverpool John Moores University,52.5,81.8,84.3,74.0,19.7,3.8,335.9,6.8,55.4,免费评估
82,班戈大学Bangor University,52.4,83.9,85.6,71.1,17.8,4.7,305.5,4.4,65.6,免费评估
83,布拉德福德大学University of Bradford,52.1,82.3,81.4,68.6,18.6,4.7,319.9,5.8,69.4,免费评估
84,蒂赛德大学Teesside University,51.8,84.7,85.4,78.4,18.8,4.6,323.6,4.7,53.6,免费评估
85,德蒙福特大学De Montfort University,51.7,83.2,84.8,71.3,18.1,3.5,312.7,6.0,54.4,免费评估
86,米德塞斯大学Middlesex University,51.6,79.6,82.9,72.9,20.5,6.2,287.1,5.3,53.7,免费评估
87,格林威治大学The University of Greenwich,51.3,83.9,85.4,71.9,21.5,3.8,312.1,6.6,53.6,免费评估
88,伯明翰城市大学Birmingham City University,50.2,82.5,83.3,72.2,21.2,4.2,316.6,6.1,63.2,免费评估
89,约克圣约翰大学York St John University,49.8,86.1,89.0,77.2,21.1,4.1,302.2,4.9,62.0,免费评估
90,斯塔福德郡大学Staffordshire University,48.8,83.6,85.9,71.1,17.7,5.1,273.1,4.2,55.3,免费评估
91,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,48.3,82.2,83.3,61.4,20.9,4,370.3,6.1,64.3,免费评估
92,坎特伯雷大学Canterbury Christ Church University,48.1,85.1,86.7,71.4,18.9,3,276.6,6.5,58.2,免费评估
93,阿尔斯特大学University of Ulster,47.8,87.7,86.4,73.7,19.2,3.5,309.3,5.9,51.2,免费评估
94,索尔福德大学University of Salford,47.6,79.9,83.3,68.3,17.0,3.8,340.5,4.9,60.2,免费评估
95,威斯敏斯特大学University of Westminster,47.5,80.2,79.9,65.1,20.3,4.6,317.1,6.5,54.2,免费评估
96,"St Mary's UC, Twickenham",47.2,86.4,87.6,72.7,22.4,3,293.7,4.4,66.4,免费评估
97,西伦敦大学University of West London,47.1,76.4,81.9,69.3,18.3,5.4,255.7,3.3,62.8,免费评估
98,卡迪夫都市大学Cardiff Metropolitan University,47.0,82.8,84.2,74.0,20.3,3.5,303.8,5.0,53.1,免费评估
98,金斯顿大学Kingston University,47.0,80.3,82.4,66.5,19.4,4.9,298.3,4.0,57.8,免费评估
100,罗汉普顿大学Roehampton University,46.4,85.8,87.2,72.0,20.2,3.6,286.5,5.3,53.8,免费评估
101,阿伯泰邓迪大学University of Abertay Dundee,46.3,83.6,86.3,59.6,21.3,2.4,330.0,6.6,67.7,免费评估
102,南威尔士大学The University of South Wales,46.1,80.5,82.4,69.8,22.9,4.5,321.3,4.8,56.2,免费评估
103,伍斯特大学University of Worcester,44.7,84.2,85.5,69.8,21.1,3.3,300.1,5.4,64.3,免费评估
104,哥比亚大学University of Cumbria,44.5,82.3,87.3,77.2,20.8,2.6,288.2,6.1,59.5,免费评估
105,剑桥安鲁大学Anglia Ruskin University,44.1,80.6,85.8,71.6,23.0,7.8,251.9,3.4,61.8,免费评估
106,亚伯大学Aberystwyth University,43.8,82.1,84.2,65.1,20.0,4.5,325.0,4.5,54.0,免费评估
107,南安普顿索伦特大学Southampton Solent University,43.2,77.7,79.8,67.5,18.8,3.5,298.6,5.0,48.5,免费评估
108,Leeds Met,42.6,83.3,85.5,69.6,19.9,3.2,280.0,5.0,60.7,免费评估
109,东伦敦大学University of East London,41.0,77.8,81.7,70.4,26.3,5.8,278.2,5.9,44.6,免费评估
110,西苏格兰大学University of the West of Scotland,40.1,84.0,82.9,67.8,22.0,3.5,298.5,5.0,56.7,免费评估
111,利兹圣三一大学Leeds Trinity University,39.8,86.3,88.1,76.9,23.6,2.3,279.6,3.2,57.9,免费评估
112,伦敦南岸大学London South Bank University,37.1,80.3,80.7,65.8,24.2,3.8,233.3,5.5,56.5,免费评估
113,波尔顿大学University of Bolton,35.4,77.6,83.4,71.2,19.9,3.4,275.4,3.2,53.7,免费评估
114,新白金汉大学Buckinghamshire New University,32.0,77.8,81.8,69.8,22.2,3.1,249.7,4.0,44.5,免费评估
115,贝德福德大学University of Bedfordshire,30.7,81.4,81.3,71.5,20.9,4.4,224.7,3.9,53.8,免费评估
116,伦敦都市大学London Metropolitan University,29.9,74.2,79.6,66.9,21.5,2.2,238.8,4.3,46.2,免费评估
