Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
36,阿斯顿大学Aston University,62.3,84.0,86.0,71.0,17.4,5.8,133,7.5,78,免费评估
37,斯塔福德郡大学Staffordshire University,61.8,86.0,88.0,81.0,15.4,6.6,120,4.8,81,免费评估
38,卡迪夫大学Cardiff University,61.4,84.0,85.0,71.0,14.1,7.5,159,5.7,81,免费评估
39,Uni of the Arts London,61.2,72.0,77.0,74.0,14.8,10.0,137,6.5,72,免费评估
40,曼彻斯特大学The University of Manchester,61.0,83.0,83.0,68.0,13.3,8.2,167,5.3,79,免费评估
41,萨塞克斯大学University of Sussex,60.3,83.0,84.0,67.0,15.8,6.7,148,4.0,81,免费评估
42,伦敦大学皇家霍洛威学院Royal Holloway University of London,59.0,86.0,87.0,71.0,14.7,5.5,140,5.1,73,免费评估
43,哈德斯菲尔德大学University of Huddersfield,58.8,85.0,83.0,76.0,17.5,4.3,131,6.1,80,免费评估
43,利物浦霍普大学Liverpool Hope University,58.8,88.0,88.0,82.0,14.5,2.6,117,3.0,84,免费评估
45,谢菲尔德大学The University of Sheffield,58.5,86.0,86.0,69.0,15.2,4.8,157,5.2,84,免费评估
45,斯特林大学University of Stirling,58.5,85.0,89.0,72.0,16.4,3.9,163,5.1,79,免费评估
47,诺桑比亚大学Northumbria University,57.6,85.0,84.0,72.0,16.3,3.9,145,6.5,76,免费评估
48,金斯顿大学Kingston University,57.4,81.0,81.0,73.0,16.6,7.1,124,6.3,63,免费评估
48,艾芝西尔大学Edge Hill University,57.4,84.0,85.0,76.0,14.1,3.4,134,5.4,77,免费评估
50,利物浦大学The University of Liverpool,56.9,85.0,85.0,73.0,14.3,6.3,147,6.0,85,免费评估
51,思克莱德大学University of Strathclyde,56.4,84.0,86.0,64.0,19.5,5.1,200,5.9,79,免费评估
52,法尔茅斯大学Falmouth University,55.7,80.0,85.0,76.0,18.3,5.8,131,5.4,76,免费评估
53,英国女王大学Queen's University Belfast,55.1,83.0,87.0,69.0,15.9,5.4,152,6.1,82,免费评估
54,亚伯大学Aberystwyth University,55.0,90.0,91.0,83.0,16.9,4.2,119,4.0,78,免费评估
55,谢菲尔德哈莱姆大学Sheffield Hallam University,54.7,87.0,87.0,74.0,17.2,5.4,119,6.3,73,免费评估
56,伦敦大学亚非学院SOAS University of London,54.3,78.0,82.0,67.0,11.3,7.0,156,4.6,71,免费评估
57,圣大卫三一学院University of Wales Trinity Saint David,54.1,86.0,89.0,80.0,15.2,3.8,109,5.8,67,免费评估
57,泰晤士河谷大学Thames Valley University,54.1,80.0,83.0,72.0,14.8,6.3,123,6.2,74,免费评估
59,阿尔斯特大学University of Ulster,53.9,86.0,85.0,75.0,17.4,3.6,128,6.1,72,免费评估
60,普利茅斯大学University of Plymouth,53.6,86.0,88.0,76.0,16.2,4.9,131,5.4,72,免费评估
61,德蒙福特大学De Montfort University,53.3,86.0,85.0,76.0,19.9,3.4,111,6.2,84,免费评估
61,赫瑞瓦特大学Heriot Watt University,53.3,82.0,82.0,66.0,17.8,7.6,163,6.0,79,免费评估
63,伦敦国王学院King's College London,53.1,79.0,84.0,63.0,12.4,6.7,169,6.2,83,免费评估
63,利物浦约翰摩尔斯大学Liverpool John Moores University,53.1,83.0,83.0,74.0,16.9,4.1,143,5.1,75,免费评估
65,肯特大学University of Kent,52.7,85.0,85.0,69.0,18.0,4.6,135,5.3,79,免费评估
66,埃塞克斯大学University of Essex,52.6,87.0,86.0,73.0,15.9,6.1,111,5.5,74,免费评估
67,格罗斯特大学University of Gloucestershire,52.5,86.0,86.0,76.0,18.7,5.3,123,5.6,73,免费评估
68,伦敦南岸大学London South Bank University,52.2,80.0,82.0,70.0,15.6,5.4,112,5.6,88,免费评估
68,雷丁大学University of Reading,52.2,83.0,85.0,68.0,15.8,6.2,132,6.0,76,免费评估
70,蒂赛德大学Teesside University,51.9,84.0,86.0,75.0,18.0,5.5,118,5.6,81,免费评估
71,布拉德福德大学University of Bradford,51.7,78.0,79.0,67.0,17.2,3.7,133,6.8,83,免费评估
72,中央兰开夏大学University of Central Lancashire,51.5,80.0,82.0,74.0,14.2,5.1,133,5.2,77,免费评估
73,奇切斯特大学University of Chichester,51.3,82.0,87.0,69.0,14.4,3.2,123,5.1,64,免费评估
73,南安普顿索伦特大学Southampton Solent University,51.3,84.0,85.0,74.0,15.6,3.6,119,5.2,70,免费评估
73,伯恩茅斯大学Bournemouth University,51.3,81.0,84.0,70.0,17.0,4.8,122,7.1,68,免费评估
76,罗伯特高登大学The Robert Gordon University,50.6,85.0,84.0,72.0,20.4,3.1,157,4.6,82,免费评估
77,"特威克南圣玛丽大学St Mary's, Twickenham",49.8,88.0,89.0,75.0,16.0,2.5,119,6.1,72,免费评估
78,班戈大学Bangor University,49.4,88.0,90.0,77.0,17.0,3.0,131,4.2,68,免费评估
79,曼彻斯特城市大学Manchester Metropolitan University,49.3,82.0,84.0,74.0,15.5,4.5,133,4.3,70,免费评估
80,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,49.1,82.0,84.0,72.0,20.2,2.6,167,7.0,74,免费评估
81,伯明翰城市大学Birmingham City University,48.3,85.0,86.0,77.0,17.9,6.3,123,5.1,78,免费评估
82,切斯特大学University of Chester,48.2,86.0,87.0,76.0,15.5,4.3,114,5.0,70,免费评估
83,伦敦大学玛丽女王学院Queen Mary University of London,47.9,80.0,81.0,64.0,13.1,5.8,144,6.0,78,免费评估
84,莱斯特大学University of Leicester,47.4,82.0,83.0,69.0,14.0,6.2,133,5.1,76,免费评估
84,玛格丽特女王大学Queen Margaret University,47.4,83.0,85.0,69.0,18.6,2.4,151,6.3,73,免费评估
86,波尔顿大学University of Bolton,46.9,82.0,87.0,79.0,14.2,6.1,114,3.4,58,免费评估
87,阿伯泰邓迪大学University of Abertay Dundee,46.8,78.0,82.0,75.0,19.6,2.4,142,5.6,74,免费评估
88,伍斯特大学University of Worcester,46.6,87.0,89.0,77.0,17.2,3.6,120,5.2,75,免费评估
89,桑德兰大学University of Sunderland,46.5,84.0,86.0,75.0,15.8,6.4,114,4.3,67,免费评估
90,格林威治大学The University of Greenwich,46.1,80.0,81.0,73.0,17.4,4.4,136,6.8,69,免费评估
91,索尔福德大学University of Salford,45.6,84.0,86.0,76.0,16.2,3.1,130,5.0,73,免费评估
92,赫特福德大学University of Hertfordshire,45.5,84.0,85.0,72.0,16.0,4.3,115,3.7,80,免费评估
93,北安普顿大学The University of Northampton,44.7,82.0,85.0,76.0,16.8,7.6,103,6.0,67,免费评估
94,利兹圣三一大学Leeds Trinity University,44.4,86.0,87.0,78.0,19.9,3.6,109,6.8,68,免费评估
95,赫尔大学The University of Hull,43.2,84.0,85.0,71.0,16.2,4.8,126,4.5,76,免费评估
96,温切斯特大学University of Winchester,42.9,84.0,89.0,72.0,16.4,2.9,112,5.7,63,免费评估
97,伦敦城市大学City University London,42.8,82.0,83.0,70.0,17.8,7.1,142,4.4,74,免费评估
98,南威尔士大学The University of South Wales,42.5,82.0,85.0,77.0,14.9,3.8,125,4.4,62,免费评估
99,剑桥安鲁大学Anglia Ruskin University,41.9,83.0,86.0,77.0,18.5,6.0,110,5.8,67,免费评估
99,布鲁内尔大学Brunel University,41.9,79.0,79.0,64.0,18.0,5.1,125,5.3,71,免费评估
99,伦敦大学金史密斯学院Goldsmiths University of London,41.9,77.0,84.0,68.0,15.1,4.9,131,5.8,58,免费评估
102,威斯敏斯特大学University of Westminster,41.2,75.0,78.0,65.0,19.3,4.5,127,5.4,70,免费评估
103,罗汉普顿大学Roehampton University,40.4,80.0,82.0,71.0,14.2,7.2,111,4.0,74,免费评估
104,东伦敦大学University of East London,39.6,85.0,86.0,75.0,18.9,3.4,111,5.2,65,免费评估
105,龙比亚大学Napier University,39.3,74.0,79.0,66.0,17.9,4.0,148,6.5,74,免费评估
106,西苏格兰大学University of the West of Scotland,38.1,85.0,87.0,76.0,22.4,3.9,139,5.2,81,免费评估
107,约克圣约翰大学York St John University,37.5,85.0,86.0,75.0,18.0,2.9,114,3.7,74,免费评估
107,巴斯斯巴大学Bath Spa University,37.5,80.0,84.0,72.0,18.7,5.1,118,6.2,67,免费评估
109,米德塞斯大学Middlesex University,36.8,77.0,77.0,68.0,16.7,6.2,123,4.0,73,免费评估
110,纽曼大学Newman University,36.3,84.0,87.0,71.0,14.5,4.5,118,2.9,65,免费评估
111,伦敦都市大学London Metropolitan University,35.1,78.0,83.0,73.0,17.8,4.1,101,4.4,71,免费评估
112,格林多大学Glyndwr University,34.2,75.0,83.0,74.0,21.2,2.2,114,4.9,64,免费评估
113,卡迪夫都市大学Cardiff Metropolitan University,34.1,82.0,82.0,70.0,18.8,4.7,109,5.2,66,免费评估
114,布莱顿大学University of Brighton,34.0,77.0,82.0,70.0,18.5,3.4,117,5.7,67,免费评估
115,伍尔弗汉普顿大学University of Wolverhampton,33.8,83.0,84.0,73.0,18.0,5.0,111,4.5,69,免费评估
116,哥比亚大学University of Cumbria,33.1,74.0,80.0,70.0,16.8,3.7,126,4.4,74,免费评估
117,Canterbury Christ Church,32.5,81.0,85.0,73.0,14.8,4.1,110,4.1,64,免费评估
118,利兹贝克特大学Leeds Beckett University,31.7,85.0,85.0,73.0,19.3,3.7,112,5.0,63,免费评估
119,Suffolk,31.4,79.0,81.0,73.0,18.8,5.9,117,4.7,65,免费评估
120,Bucks New Uni,28.2,72.0,79.0,70.0,15.8,7.0,116,3.7,69,免费评估
121,贝德福德大学University of Bedfordshire,27.9,82.0,84.0,73.0,17.0,5.5,101,4.2,70,免费评估
