Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
88,金斯顿大学Kingston University,52.4,82.0,82.2,69.8,19.3,5,290.7,4.9,60.7,免费评估
90,罗汉普顿大学Roehampton University,52.3,83.5,85.2,72.3,14.9,5.9,275.8,5.7,60.8,免费评估
91,布莱顿大学University of Brighton,51.3,84.2,85.3,69.2,17.4,3.7,304.7,5.1,66.9,免费评估
91,卡迪夫都市大学Cardiff Metropolitan University,51.3,78.9,82.4,71.2,17.9,4.5,318.1,5.8,60.7,免费评估
93,波尔顿大学University of Bolton,51.1,82.1,85.7,75.3,15.9,4.3,290.2,4.4,60.2,免费评估
94,赫特福德大学University of Hertfordshire,51.0,85.5,86.8,70.4,17.5,4.2,300.7,4.9,75.0,免费评估
95,伍斯特大学University of Worcester,50.6,87.3,87.9,71.9,17.3,2.9,302.9,6.4,63.7,免费评估
96,泰晤士河谷大学Thames Valley University,50.3,72.9,79.0,68.1,15.6,5.6,300.0,5.4,60.6,免费评估
97,萨福克学院University Campus Suffolk,48.7,84.1,86.0,78.9,20.0,-,308.2,2.3,55.4,免费评估
98,格林威治大学The University of Greenwich,48.6,80.7,83.6,71.5,18.6,3.7,337.6,5.3,58.0,免费评估
99,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,48.4,83.6,84.0,65.6,21.1,3.9,386.8,5.6,70.1,免费评估
100,南安普顿索伦特大学Southampton Solent University,48.2,81.7,82.7,70.3,16.9,4.3,278.8,5.7,54.6,免费评估
101,玛格丽特女王大学Queen Margaret University,47.4,84.1,87.4,66.5,18.3,2.6,351.9,6.5,60.2,免费评估
102,蒂赛德大学Teesside University,47.3,85.0,88.0,75.7,17.4,5.8,305.5,3.7,60.0,免费评估
103,西苏格兰大学University of the West of Scotland,47.2,86.7,87.0,73.5,19.8,3.2,326.9,5.9,65.7,免费评估
104,约克圣约翰大学York St John University,46.8,86.7,88.8,75.2,18.5,4.2,301.7,4.2,65.5,免费评估
105,伯明翰城市大学Birmingham City University,45.2,80.6,82.6,72.0,19.1,4.8,316.4,5.5,64.9,免费评估
106,"特威克南圣玛丽大学St Mary's, Twickenham",45.1,92.1,92.8,72.6,20.2,4.6,293.3,3.3,66.5,免费评估
107,伦敦南岸大学London South Bank University,44.5,80.8,82.8,71.2,17.2,4.3,257.1,5.2,68.0,免费评估
