No.,Institution,Country Region,World Rank,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
82,Leiden University,Netherlands,82,3,17.8,9.4,25.7,22.0,46.9,32.9,26.5,免费评估
83,佛罗里达大学University of Florida,USA,83,44,17.0,0.0,30.9,21.0,58.7,17.3,26.2,免费评估
84,莱斯大学Rice University,USA,84,45,16.2,21.7,28.1,22.8,29.2,34.3,26.0,免费评估
85,Osaka University,Japan,85,4,8.9,0.0,31.6,26.7,51.7,21.7,25.7,免费评估
86,Moscow State University,Russia,86,1,41.4,33.0,0.0,7.7,46.4,31.3,25.3,免费评估
87,西澳大学The University of Western Australia,Australia,87,4,13.6,14.1,24.1,14.5,47.5,28.9,24.9,免费评估
88,University of Basel,Switzerland,87,4,19.2,16.3,17.4,21.4,39.2,35.0,24.9,免费评估
89,University of Strasbourg,France,87,4,25.1,28.8,15.9,19.0,34.6,21.7,24.9,免费评估
90,KU Leuven,Belgium,90,2,0.0,0.0,30.1,18.6,56.6,30.4,24.7,免费评估
91,University of Arizona,USA,90,46,14.5,0.0,27.2,27.5,48.4,20.3,24.7,免费评估
92,华威大学The University of Warwick,UK,92,9,0.0,29.8,23.7,14.0,39.3,26.8,24.6,免费评估
93,Arizona State University,USA,93,47,0.0,20.0,22.2,25.5,42.6,19.1,24.5,免费评估
94,"University of California, Santa Cruz",USA,93,47,0.0,0.0,37.9,33.9,29.0,37.6,24.5,免费评估
95,犹他大学University of Utah,USA,93,47,0.0,11.5,26.5,25.5,46.7,18.7,24.5,免费评估
96,麦克马斯特大学McMaster University,Canada,96,4,12.6,18.8,23.2,15.1,44.5,22.5,24.4,免费评估
97,University of Bonn,Germany,97,4,15.4,19.8,17.4,21.1,39.8,25.9,24.3,免费评估
98,VU University Amsterdam,Netherlands,98,4,0.0,0.0,27.8,18.0,55.5,33.3,24.2,免费评估
99,密歇根州立大学Michigan State University,USA,99,50,8.9,0.0,30.7,21.8,50.6,18.9,24.0,免费评估
100,德克萨斯A&M大学Texas A & M University,USA,100,51,0.0,0.0,34.3,22.7,49.5,20.9,23.9,免费评估
101,Aix Marseille University,France,101-150,5-6,13.6,0.0,15.2,20.3,50.1,27.6,,免费评估
