Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
20,布里斯托大学University of Bristol,75.0,86,90,68,13.6,6.5,184,6.0,80,免费评估
21,萨里大学University of Surrey,74.7,88,88,74,15.7,5.8,163,7.0,77,免费评估
22,Lincoln,73.1,88,87,76,14.9,4.5,129,4.9,76,免费评估
23,南安普顿大学University of Southampton,72.7,84,86,71,12.9,5.6,158,6.2,80,免费评估
24,格拉斯哥大学University of Glasgow,72.1,88,89,67,14.9,6.0,200,5.6,84,免费评估
25,朴茨茅斯大学University of Portsmouth,72.0,88,88,75,15.4,5.9,119,6.0,80,免费评估
26,萨塞克斯大学University of Sussex,71.9,88,87,69,16.4,7.0,144,4.5,80,免费评估
27,纽卡斯尔大学Newcastle University,71.1,88,88,73,13.8,5.9,161,5.1,80,免费评估
28,爱丁堡大学The University of Edinburgh,70.3,80,85,61,12.6,8.7,181,6.0,75,免费评估
29,德比大学University of Derby,70.1,85,88,77,15.1,6.2,119,4.9,74,免费评估
29,邓迪大学University of Dundee,70.1,89,91,75,14.5,6.3,173,5.3,85,免费评估
31,斯旺西大学Swansea University,69.9,89,87,74,15.4,4.7,138,5.9,82,免费评估
31,埃塞克斯大学University of Essex,69.9,88,87,72,16.3,6.1,116,6.8,80,免费评估
33,利物浦霍普大学Liverpool Hope University,69.6,90,91,84,14.5,2.5,116,3.1,80,免费评估
34,曼彻斯特大学The University of Manchester,69.0,83,83,67,13.4,8.0,167,5.4,82,免费评估
35,肯特大学University of Kent,68.7,88,87,71,18.4,4.7,137,5.3,83,免费评估
36,基尔大学Keele University,68.4,90,90,77,14.2,4.4,128,4.0,80,免费评估
37,西英格兰大学University of the West of England,68.2,87,88,74,18.4,5.1,127,6.6,77,免费评估
38,伦敦大学皇家霍洛威学院Royal Holloway University of London,68.1,87,87,73,15.2,5.7,142,4.9,70,免费评估
39,谢菲尔德大学The University of Sheffield,67.9,87,87,70,14.7,4.7,156,5.1,82,免费评估
40,斯特林大学University of Stirling,67.5,87,88,72,15.5,3.6,158,5.0,75,免费评估
41,牛津布鲁克斯大学Oxford Brookes University,67.3,85,86,72,16.1,5.2,128,6.2,72,免费评估
41,哈德斯菲尔德大学University of Huddersfield,67.3,86,85,79,17.0,4.2,128,6.4,78,免费评估
43,阿斯顿大学Aston University,66.9,88,88,75,20.1,5.4,137,6.3,79,免费评估
44,斯塔福德郡大学Staffordshire University,66.7,85,87,78,14.5,6.4,115,4.4,80,免费评估
45,亚伯大学Aberystwyth University,66.6,91,91,81,16.6,4.5,120,3.4,74,免费评估
46,雷丁大学University of Reading,66.5,85,85,71,15.0,5.9,138,5.7,76,免费评估
47,班戈大学Bangor University,66.2,90,89,78,16.7,3.4,134,4.0,69,免费评估
48,诺桑比亚大学Northumbria University,66.1,85,85,73,16.7,3.9,144,6.6,72,免费评估
49,利物浦约翰摩尔斯大学Liverpool John Moores University,66.0,85,84,75,17.3,4.5,141,6.1,73,免费评估
50,泰晤士河谷大学Thames Valley University,65.9,84,87,78,15.6,4.6,120,6.4,70,免费评估
51,阿伯丁大学University of Aberdeen,64.9,87,88,68,15.4,4.5,181,6.2,78,免费评估
52,英国女王大学Queen's University Belfast,64.8,88,89,74,15.8,5.1,153,5.9,80,免费评估
53,思克莱德大学University of Strathclyde,64.6,87,88,66,19.8,5.2,201,5.5,80,免费评估
54,奇切斯特大学University of Chichester,64.5,86,89,74,15.1,3.2,123,4.7,65,免费评估
55,格罗斯特大学University of Gloucestershire,64.2,85,87,75,19.0,5.6,123,5.9,69,免费评估
55,艾芝西尔大学Edge Hill University,64.2,84,86,77,15.2,3.9,130,5.1,71,免费评估
57,利物浦大学The University of Liverpool,63.6,87,85,74,13.5,6.3,146,6.1,78,免费评估
58,伦敦大学亚非学院SOAS University of London,63.0,86,88,69,12.3,6.1,148,5.1,70,免费评估
58,布鲁内尔大学Brunel University,63.0,83,82,71,16.4,5.0,131,6.0,73,免费评估
58,卡迪夫大学Cardiff University,63.0,85,86,70,13.5,7.0,155,4.8,76,免费评估
58,伦敦国王学院King's College London,63.0,81,87,62,12.5,6.2,169,6.2,83,免费评估
58,金斯顿大学Kingston University,63.0,79,79,70,16.0,6.4,125,5.8,62,免费评估
63,莱斯特大学University of Leicester,62.9,86,86,70,13.7,6.5,136,5.9,76,免费评估
63,法尔茅斯大学Falmouth University,62.9,83,86,77,18.4,4.8,120,4.6,71,免费评估
65,伯恩茅斯大学Bournemouth University,62.7,81,83,69,17.0,5.3,123,7.4,70,免费评估
66,赫瑞瓦特大学Heriot Watt University,62.5,85,85,69,16.7,7.9,167,5.4,77,免费评估
66,普利茅斯大学University of Plymouth,62.5,85,87,73,15.9,5.3,129,6.1,70,免费评估
68,阿伯泰邓迪大学University of Abertay Dundee,62.4,85,86,75,18.5,2.3,155,5.8,66,免费评估
68,蒂赛德大学Teesside University,62.4,83,85,76,17.2,5.5,119,5.1,79,免费评估
70,谢菲尔德哈莱姆大学Sheffield Hallam University,62.3,84,85,72,16.9,5.2,124,6.4,69,免费评估
71,德蒙福特大学De Montfort University,62.2,85,84,75,19.4,3.7,113,5.1,81,免费评估
72,布拉德福德大学University of Bradford,61.7,81,82,69,16.8,4.1,130,6.1,81,免费评估
73,曼彻斯特城市大学Manchester Metropolitan University,61.0,84,83,74,15.3,3.6,133,4.1,69,免费评估
74,桑德兰大学University of Sunderland,60.9,83,86,73,15.6,5.7,119,5.0,69,免费评估
75,Uni of the Arts London,60.4,72,77,74,14.4,9.9,136,5.6,56,免费评估
76,伦敦大学金史密斯学院Goldsmiths University of London,59.8,82,87,68,14.7,4.4,130,6.9,55,免费评估
76,中央兰开夏大学University of Central Lancashire,59.8,82,84,72,16.4,5.0,129,5.7,70,免费评估
78,罗伯特高登大学The Robert Gordon University,59.5,85,84,71,20.6,3.3,157,4.7,78,免费评估
78,伦敦南岸大学London South Bank University,59.5,82,84,71,16.5,4.2,107,5.4,82,免费评估
80,"特威克南圣玛丽大学St Mary's, Twickenham",59.4,85,86,70,15.7,4.0,119,5.6,71,免费评估
81,威斯敏斯特大学University of Westminster,59.3,79,79,68,17.0,4.8,123,6.4,68,免费评估
81,南安普顿索伦特大学Southampton Solent University,59.3,82,83,72,15.7,3.5,116,5.6,65,免费评估
83,伦敦大学玛丽女王学院Queen Mary University of London,59.1,83,84,67,13.1,6.4,148,4.6,73,免费评估
84,玛格丽特女王大学Queen Margaret University,58.9,81,84,68,18.5,2.6,149,6.2,77,免费评估
85,利兹圣三一大学Leeds Trinity University,58.7,84,86,76,19.5,3.7,100,7.0,68,免费评估
85,圣大卫三一学院University of Wales Trinity Saint David,58.7,83,86,78,15.0,3.0,112,5.0,54,免费评估
85,波尔顿大学University of Bolton,58.7,83,84,76,14.7,4.7,112,3.8,65,免费评估
88,索尔福德大学University of Salford,58.2,83,84,76,15.0,3.4,128,4.8,70,免费评估
88,东伦敦大学University of East London,58.2,83,85,74,17.0,4.1,111,5.3,61,免费评估
90,赫特福德大学University of Hertfordshire,58.0,82,84,70,17.9,4.1,119,4.4,79,免费评估
91,伍斯特大学University of Worcester,57.6,84,86,74,16.7,3.5,119,5.1,67,免费评估
92,温切斯特大学University of Winchester,57.4,86,87,72,16.3,2.6,112,6.2,63,免费评估
93,阿尔斯特大学University of Ulster,57.2,85,84,74,17.1,3.1,127,5.5,68,免费评估
94,切斯特大学University of Chester,57.1,85,87,75,15.3,4.4,114,4.2,70,免费评估
95,伦敦城市大学City University London,56.7,83,83,70,17.9,7.1,142,4.7,68,免费评估
96,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,56.1,81,82,66,19.2,3.5,163,5.0,70,免费评估
97,伯明翰城市大学Birmingham City University,56.0,83,85,74,18.1,6.1,128,4.6,71,免费评估
97,格林多大学Glyndwr University,56.0,81,85,75,19.2,1.8,104,4.4,64,免费评估
99,卡迪夫都市大学Cardiff Metropolitan University,55.8,82,82,69,16.5,4.9,125,5.6,63,免费评估
100,格林威治大学The University of Greenwich,54.7,80,81,71,17.9,3.8,131,6.4,66,免费评估
101,纽曼大学Newman University,54.6,83,86,70,16.0,3.8,118,3.7,63,免费评估
102,Suffolk,54.3,78,81,72,17.6,6.0,118,3.7,66,免费评估
103,剑桥安鲁大学Anglia Ruskin University,53.8,83,87,77,18.2,6.7,105,5.2,68,免费评估
103,巴斯斯巴大学Bath Spa University,53.8,82,86,75,19.9,4.8,122,5.6,64,免费评估
105,龙比亚大学Napier University,53.6,81,85,70,18.8,4.3,146,5.8,66,免费评估
106,赫尔大学The University of Hull,53.5,84,85,70,18.3,4.0,123,4.0,76,免费评估
107,布莱顿大学University of Brighton,53.4,80,84,69,18.2,3.4,117,5.2,68,免费评估
108,坎特伯雷大学Canterbury Christ Church University,53.0,82,85,73,15.2,4.5,108,5.3,64,免费评估
109,南威尔士大学The University of South Wales,52.8,79,82,73,14.4,3.8,129,3.9,61,免费评估
109,罗汉普顿大学Roehampton University,52.8,82,83,67,14.7,6.5,109,3.8,69,免费评估
111,北安普顿大学The University of Northampton,52.3,83,83,73,18.7,5.0,107,6.1,63,免费评估
112,米德塞斯大学Middlesex University,52.1,80,80,72,16.6,6.8,118,4.4,58,免费评估
113,贝德福德大学University of Bedfordshire,49.4,82,83,72,17.6,5.9,95,5.7,69,免费评估
114,西苏格兰大学University of the West of Scotland,48.4,84,87,74,22.1,4.0,138,5.0,72,免费评估
115,"伦敦大学伯克贝克学院Birkbeck, University Of London",47.7,84,87,68,15.8,3.9,92,2.7,72,免费评估
116,伍尔弗汉普顿大学University of Wolverhampton,46.5,82,83,71,20.0,4.6,108,4.7,66,免费评估
117,伦敦都市大学London Metropolitan University,44.0,78,81,71,21.6,2.7,98,3.6,66,免费评估
118,哥比亚大学University of Cumbria,43.9,77,81,71,16.7,3.1,118,3.2,69,免费评估
119,约克圣约翰大学York St John University,43.6,82,85,73,17.4,3.3,114,3.4,56,免费评估
120,利兹贝克特大学Leeds Beckett University,43.5,82,84,71,19.4,3.7,114,4.0,62,免费评估
121,Bucks New Uni,32.6,72,78,67,16.0,6.6,111,3.4,61,免费评估
