Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
36,英属哥伦比亚大学University of British Columbia,Canada,2,19.5,18.9,31.4,31.0,63.1,36.3,35.4,免费评估
37,马里兰大学University of Maryland-College Park,UnitedStates,28,24.3,20.0,40.6,31.2,53.3,25.9,35.0,免费评估
38,德克萨斯大学奥斯汀分校The University of Texas at Austin,UnitedStates,29,20.4,16.7,46.9,28.0,54.8,21.3,34.4,免费评估
39,Pierre and Marie Curie University - Paris 6,France,1,38.4,23.6,23.4,27.2,54.2,33.5,33.8,免费评估
39,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,30,22.8,33.2,30.6,35.5,38.0,31.9,33.8,免费评估
41,范德堡大学Vanderbilt University,UnitedStates,31,19.5,29.6,31.4,23.8,51.0,36.0,33.6,免费评估
42,Utrecht University,Netherlands,1,28.8,20.9,27.7,29.9,56.6,26.6,33.5,免费评估
43,宾州州立大学Pennsylvania State University,UnitedStates,32,13.2,0.0,45.1,37.7,58.0,23.7,32.7,免费评估
43,"加州大学戴维斯分校University of California,Davis",UnitedStates,32,0.0,0.0,46.9,33.1,64.2,30.0,32.7,免费评估
45,"加利福尼亚大学欧文分校University of California, Irvine",UnitedStates,34,0.0,29.4,35.5,28.0,48.9,32.1,32.5,免费评估
46,University of Copenhagen,Denmark,1,28.8,24.2,25.7,25.2,51.4,31.7,32.2,免费评估
47,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,35,14.4,20.0,39.9,32.1,44.8,24.2,32.1,免费评估
48,曼彻斯特大学The University of Manchester,UnitedKingdom,5,25.6,18.9,24.6,28.3,56.9,28.4,32.0,免费评估
49,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,UnitedStates,36,23.5,0.0,39.9,23.6,65.6,28.5,31.9,免费评估
50,南加州大学University of Southern California,UnitedStates,37,0.0,26.8,37.1,23.4,52.7,25.9,31.4,免费评估
51,佛罗里达大学University of Florida,UnitedStates,38,21.2,0.0,37.1,24.8,65.5,26.5,31.1,免费评估
52,University of Paris Sud (Paris 11),France,2,31.3,39.1,14.8,20.4,44.8,30.8,30.9,免费评估
53,Karolinska Institute,Sweden,1,28.8,27.3,32.3,16.6,47.0,24.5,30.8,免费评估
53,爱丁堡大学The University of Edinburgh,UnitedKingdom,6,21.2,16.7,26.7,34.2,47.0,29.3,30.8,免费评估
53,University of Munich,Germany,1,34.8,22.9,14.8,27.1,51.8,31.1,30.8,免费评估
56,Technical University Munich,Germany,2,40.3,23.6,25.7,20.2,44.4,29.9,30.6,免费评估
57,澳大利亚国立大学The Australian National University,Australia,1,16.6,12.6,36.3,30.0,44.7,32.2,30.4,免费评估
58,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,UnitedStates,39,11.8,0.0,37.8,29.3,60.1,27.7,30.2,免费评估
58,University of Zurich,Switzerland,2,11.8,26.8,22.2,28.3,48.4,31.1,30.2,免费评估
60,卡内基梅隆大学Carnegie Mellon University,UnitedStates,40,32.8,32.8,32.3,12.0,36.7,31.0,30.0,免费评估
61,俄亥俄州立大学Ohio State University,UnitedStates,41,16.6,0.0,41.9,22.0,61.2,19.8,29.5,免费评估
62,布里斯托大学University of Bristol,UnitedKingdom,7,10.2,17.9,29.6,26.7,47.3,32.8,29.4,免费评估
63,麦吉尔大学McGill University,Canada,3,27.0,0.0,29.6,24.2,58.7,32.7,29.3,免费评估
64,The Hebrew University of Jerusalem,Israel,1,31.1,20.0,24.6,23.3,43.6,28.2,29.0,免费评估
65,University of Heidelberg,Germany,3,18.6,27.2,18.2,22.8,48.7,29.0,28.9,免费评估
66,Uppsala University,Sweden,2,24.3,32.2,12.8,23.6,49.1,21.0,28.8,免费评估
67,Osaka University,Japan,3,11.8,0.0,24.6,30.4,64.0,28.5,28.6,免费评估
68,普渡大学Purdue University,UnitedStates,42,17.6,16.7,29.6,20.9,51.3,20.2,28.3,免费评估
69,University of Oslo,Norway,1,24.3,33.4,18.2,16.8,42.5,27.9,28.2,免费评估
70,布朗大学Brown University,UnitedStates,43,17.6,13.6,31.4,28.2,39.9,29.6,28.1,免费评估
71,Leiden University,Netherlands,2,23.5,15.5,28.7,20.9,45.2,28.2,28.0,免费评估
72,谢菲尔德大学The University of Sheffield,UnitedKingdom,8,22.0,14.1,22.2,27.8,46.0,29.5,27.9,免费评估
73,赫尔大学University of Hull,Finland,1,17.6,17.9,19.6,21.7,52.7,28.9,27.8,免费评估
74,亚利桑那州立大学Arizona State University,UnitedStates,44,0.0,0.0,29.6,37.1,54.6,25.7,27.6,免费评估
75,罗彻斯特大学University of Rochester,UnitedStates,45,31.1,8.9,26.7,21.5,43.1,35.2,27.4,免费评估
76,Moscow State University,Russia,1,51.6,34.2,0.0,7.5,48.5,31.6,27.1,免费评估
76,Tohoku University,Japan,4,17.6,0.0,22.2,23.7,63.0,28.3,27.1,免费评估
78,凯斯西储大学Case Western Reserve University,UnitedStates,46,38.1,11.5,21.0,19.6,43.0,32.2,26.8,免费评估
79,墨尔本大学The University of Melbourne,Australia,2,14.4,14.1,22.2,18.4,55.1,25.0,26.6,免费评估
80,密歇根州立大学Michigan State University,UnitedStates,47,11.8,0.0,36.3,24.6,51.0,18.4,26.1,免费评估
81,诺丁汉大学The University of Nottingham,UnitedKingdom,9,14.4,20.0,24.6,16.2,44.8,27.3,26.0,免费评估
82,University of Basel,Switzerland,3,24.3,17.1,21.0,22.9,35.6,35.1,25.9,免费评估
83,波士顿大学Boston University,UnitedStates,48,14.4,0.0,30.6,27.1,50.4,17.3,25.5,免费评估
83,Ecole Normale Superieure - Paris,France,3,48.5,31.6,12.8,16.8,25.8,25.8,25.5,免费评估
83,伦敦国王学院King's College London,UnitedKingdom,10,15.6,23.1,19.6,15.4,45.1,26.6,25.5,免费评估
86,Stockholm University,Sweden,3,27.6,29.6,16.6,17.2,36.4,19.4,25.3,免费评估
87,麦克马斯特大学McMaster University,Canada,4,15.6,18.9,22.2,14.3,45.4,25.7,25.0,免费评估
87,莱斯大学Rice University,UnitedStates,49,20.4,21.9,22.2,22.3,30.0,29.8,25.0,免费评估
87,University of Goettingen,Germany,4,36.3,20.0,14.8,16.3,39.7,25.2,25.0,免费评估
90,印第安纳大学伯明顿主校区Indiana University Bloomington,UnitedStates,50,13.2,17.9,27.7,20.0,39.9,18.0,24.9,免费评估
91,Texas A&M University - College Station,UnitedStates,51,0.0,0.0,33.1,23.6,53.7,20.3,24.8,免费评估
92,伯明翰大学University of Birmingham,UnitedKingdom,11,23.5,10.9,22.2,15.4,45.3,26.9,24.5,免费评估
93,犹他大学University of Utah,UnitedStates,52,0.0,0.0,30.6,27.6,47.5,25.0,24.3,免费评估
94,Nagoya University,Japan,5,0.0,14.1,18.2,22.3,50.0,25.0,24.1,免费评估
94,University of Freiburg,Germany,5,23.5,20.9,16.6,18.9,37.4,23.6,24.1,免费评估
96,Arizona State University - Tempe,UnitedStates,53,0.0,14.1,24.6,26.1,42.7,18.2,24.0,免费评估
97,Lund University,Sweden,4,27.6,0.0,23.4,19.1,50.7,18.0,23.9,免费评估
97,爱荷华大学University of Iowa,UnitedStates,54,0.0,0.0,34.0,22.2,49.6,21.1,23.9,免费评估
99,Tokyo Institute of Technology,Japan,6,15.6,0.0,22.2,23.9,46.9,30.4,23.8,免费评估
99,University of Bonn,Germany,6,18.6,20.0,14.8,16.9,42.6,24.2,23.8,免费评估
99,University of Strasbourg,France,4,27.6,22.5,16.6,18.5,32.8,22.9,23.8,免费评估
