Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
42,Pierre and Marie Curie University - Paris 6,France,1,36.6,23.6,23.1,27.3,58.2,21.3,33.1,免费评估
42,范德堡大学Vanderbilt University,UnitedStates,32,18.6,29.6,30.9,23.1,50.3,36.0,33.1,免费评估
45,University of Copenhagen,Denmark,1,27.4,24.2,26.3,25.4,54.5,33.4,33.0,免费评估
46,"加利福尼亚大学欧文分校University of California, Irvine",UnitedStates,34,0.0,29.4,37.2,27.5,49.3,32.9,32.8,免费评估
47,Utrecht University,Netherlands,1,27.4,20.9,28.2,28.8,53.3,26.0,32.4,免费评估
48,"加州大学戴维斯分校University of California,Davis",UnitedStates,35,0.0,0.0,46.7,31.7,63.2,30.0,32.2,免费评估
49,University of Paris Sud (Paris 11),France,2,33.3,46.2,14.6,20.4,47.0,23.1,32.1,免费评估
50,南加州大学University of Southern California,UnitedStates,36,0.0,26.8,38.6,24.7,52.6,26.7,32.0,免费评估
51,Karolinska Institute,Sweden,1,27.4,27.3,31.8,18.3,50.1,25.7,31.6,免费评估
52,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,UnitedStates,37,22.4,0.0,40.6,23.2,63.1,28.3,31.3,免费评估
53,University of Zurich,Switzerland,2,11.2,26.8,24.7,27.5,50.2,32.4,31.0,免费评估
54,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,38,13.7,20.0,39.9,27.9,44.0,23.8,30.9,免费评估
55,爱丁堡大学The University of Edinburgh,UnitedKingdom,6,20.2,16.7,26.3,32.3,49.7,30.0,30.8,免费评估
55,University of Munich,Germany,1,33.1,22.9,16.3,25.6,52.7,31.8,30.8,免费评估
57,Technical University Munich,Germany,2,41.1,23.6,25.3,18.9,44.8,30.6,30.5,免费评估
58,佛罗里达大学University of Florida,UnitedStates,39,20.2,0.0,37.2,22.7,64.9,26.6,30.4,免费评估
59,澳大利亚国立大学The Australian National University,Australia,1,15.8,12.6,35.7,30.5,43.4,32.2,30.0,免费评估
60,麦吉尔大学McGill University,Canada,3,25.7,0.0,32.6,22.8,60.3,34.3,29.9,免费评估
61,布里斯托大学University of Bristol,UnitedKingdom,7,9.7,17.9,28.2,28.1,47.8,33.5,29.5,免费评估
62,卡内基梅隆大学Carnegie Mellon University,UnitedStates,40,31.2,32.8,31.8,11.3,35.7,30.9,29.3,免费评估
62,俄亥俄州立大学Ohio State University,UnitedStates,40,15.8,0.0,41.9,19.8,63.0,20.3,29.3,免费评估
64,University of Oslo,Norway,1,23.1,33.4,17.9,17.0,46.7,29.8,29.0,免费评估
65,普渡大学Purdue University,UnitedStates,42,16.8,16.7,30.1,22.0,52.8,21.0,28.8,免费评估
65,The Hebrew University of Jerusalem,Israel,1,29.6,20.0,24.2,22.9,44.1,28.7,28.8,免费评估
67,University of Heidelberg,Germany,3,17.7,27.2,17.9,20.4,49.2,29.3,28.4,免费评估
68,Osaka University,Japan,3,11.2,0.0,26.3,28.2,63.6,28.7,28.3,免费评估
68,赫尔大学University of Hull,Finland,1,16.8,17.9,21.9,20.8,53.8,30.1,28.3,免费评估
70,Moscow State University,Russia,1,49.1,34.2,0.0,8.3,53.2,33.4,28.1,免费评估
71,布朗大学Brown University,UnitedStates,43,16.8,13.6,31.8,26.6,40.4,29.9,27.9,免费评估
71,Uppsala University,Sweden,2,23.1,32.2,12.6,19.3,49.5,21.0,27.9,免费评估
73,Ecole Normale Superieure - Paris,France,3,53.4,24.5,12.6,17.2,25.9,56.2,27.7,免费评估
73,墨尔本大学The University of Melbourne,Australia,2,13.7,14.1,23.1,19.6,58.1,26.7,27.7,免费评估
73,罗彻斯特大学University of Rochester,UnitedStates,44,29.6,8.9,27.3,21.6,44.1,36.1,27.7,免费评估
76,Leiden University,Netherlands,2,22.4,15.5,28.2,17.7,47.6,28.8,27.6,免费评估
77,谢菲尔德大学The University of Sheffield,UnitedKingdom,8,20.9,14.1,21.9,25.5,47.0,29.7,27.5,免费评估
77,亚利桑那州立大学Arizona State University,UnitedStates,45,0.0,0.0,30.1,36.5,54.2,25.9,27.5,免费评估
79,Tohoku University,Japan,4,16.8,0.0,21.9,23.2,63.9,28.9,27.1,免费评估
79,犹他大学University of Utah,UnitedStates,46,0.0,11.5,30.1,29.2,48.0,26.1,27.1,免费评估
81,伦敦国王学院King's College London,UnitedKingdom,9,14.8,23.1,21.9,15.3,48.7,28.6,26.8,免费评估
82,诺丁汉大学The University of Nottingham,UnitedKingdom,10,13.7,20.0,24.2,16.0,47.9,28.7,26.5,免费评估
83,波士顿大学Boston University,UnitedStates,47,13.7,0.0,30.1,27.5,51.5,17.8,25.6,免费评估
83,凯斯西储大学Case Western Reserve University,UnitedStates,47,36.3,11.5,21.9,15.2,42.1,31.5,25.6,免费评估
83,密歇根州立大学Michigan State University,UnitedStates,47,11.2,0.0,35.7,22.4,51.6,18.5,25.6,免费评估
86,Stockholm University,Sweden,3,26.3,29.6,16.3,19.2,36.2,19.7,25.5,免费评估
87,University of Basel,Switzerland,3,23.1,17.1,20.6,21.1,35.7,34.9,25.4,免费评估
88,Texas A&M University - College Station,UnitedStates,50,0.0,0.0,32.6,24.5,55.0,20.9,25.2,免费评估
89,麦克马斯特大学McMaster University,Canada,4,14.8,18.9,21.9,14.7,46.1,26.4,25.1,免费评估
90,University of Goettingen,Germany,4,34.5,20.0,14.6,16.5,40.3,25.6,24.9,免费评估
91,伯明翰大学University of Birmingham,UnitedKingdom,11,22.4,10.9,21.9,15.6,47.3,28.0,24.8,免费评估
92,印第安纳大学伯明顿主校区Indiana University Bloomington,UnitedStates,51,12.5,17.9,26.3,21.2,39.3,18.1,24.6,免费评估
93,Arizona State University - Tempe,UnitedStates,52,0.0,14.1,24.2,28.2,43.1,18.9,24.5,免费评估
93,Aarhus University,Denmark,2,13.7,18.9,7.3,24.5,48.2,27.0,24.5,免费评估
95,"弗吉尼亚大学University of Virginia,Main Campus",UnitedStates,53,0.0,0.0,32.6,26.3,47.2,25.5,24.4,免费评估
96,University of Freiburg,Germany,5,22.4,20.9,16.3,19.2,38.0,24.2,24.2,免费评估
97,Lund University,Sweden,4,26.3,0.0,25.3,18.0,51.7,18.6,24.1,免费评估
97,莱斯大学Rice University,UnitedStates,54,19.4,21.9,21.9,19.7,29.5,29.3,24.1,免费评估
97,University of Bonn,Germany,6,17.7,20.0,14.6,20.2,41.3,24.7,24.1,免费评估
97,悉尼大学The University of Sydney,Australia,3,17.7,0.0,20.6,16.4,58.0,26.8,24.1,免费评估
