Ranking,University Name,Location,Teaching,International Outlook,Research,Citations,Industry Income,Overall score,Free
173,维多利亚大学University of Victoria,Canada,21.6,70.1,30.6,86.7,31.6,47.7,免费评估
175,奥克兰大学The University of Auckland,New Zealand,28.6,87.3,33.4,68.4,74.2,47.5,免费评估
175,爱荷华大学University of Iowa,United States of America,41.9,31.7,33.5,71.0,49.3,47.5,免费评估
177,雪城大学Syracuse University,United States of America,32.4,41.2,24.4,87.1,40.6,47.3,免费评估
178,Joseph Fourier University,France,38.0,57.3,29.3,73.0,31.3,47.1,免费评估
178,阿伯丁大学University of Aberdeen,United Kingdom,28.0,84.1,30.2,74.3,42.1,47.1,免费评估
180,Paris Diderot University – Paris 7,France,25.6,67.4,19.7,92.2,29.1,47.0,免费评估
180,特拉华大学University of Delaware,United States of America,29.0,40.6,36.3,73.1,99.3,47.0,免费评估
182,Arizona State University,United States of America,35.7,29.5,37.5,73.1,32.6,46.9,免费评估
182,Sabanc? University,Turkey,26.0,44.6,27.1,88.5,42.9,46.9,免费评估
182,University of Vienna,Austria,35.2,91.0,39.7,56.3,29.4,46.9,免费评估
185,东北大学Northeastern University,United States of America,36.4,54.7,21.9,81.3,34,46.8,免费评估
186,University of Oslo,Norway,36.1,60.3,35.2,66.3,36.6,46.7,免费评估
186,Yeshiva University,United States of America,45.2,27.6,23.9,77.8,-,46.7,免费评估
188,纽约州立大学石溪分校Stony Brook University,United States of America,32.8,60.5,24.4,80.4,31.3,46.6,免费评估
188,Tel Aviv University,Israel,43.5,46.1,51.1,45.5,42.6,46.6,免费评估
188,渥太华大学University of Ottawa,Canada,37.9,63.2,34.7,62.9,45.9,46.6,免费评估
191,University at Buffalo,United States of America,40.1,57.0,39.8,57.5,39.6,46.5,免费评估
192,City University of Hong Kong,Hong Kong,31.0,71.3,32.9,68.6,49.8,46.3,免费评估
193,Fudan University,China,45.6,37.4,34.0,61.0,49.4,46.2,免费评估
193,Iowa State University,United States of America,36.4,40.6,30.9,72.0,54.4,46.2,免费评估
195,University of Bonn,Germany,32.2,54.8,22.2,83.8,-,46.1,免费评估
196,Lomonosov Moscow State University,Russian Federation,55.9,60.4,42.1,33.8,78.5,46.0,免费评估
196,"圣乔治医学院St George's, University of London",United Kingdom,23.1,55.8,27.3,86.4,32.4,46.0,免费评估
198,东英吉利大学University of East Anglia,United Kingdom,25.2,76.5,22.6,83.7,29.2,45.9,免费评估
199,莱斯特大学University of Leicester,United Kingdom,29.8,83.9,31.6,67.1,34.8,45.7,免费评估
200,Florida Institute of Technology,United States of America,19.7,63.0,13.1,99.2,53.7,45.6,免费评估
200,George Washington University,United States of America,44.6,39.9,25.1,70.0,29.3,45.6,免费评估
