Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
33,思克莱德大学University of Strathclyde,70.1,89.3,89.2,65.7,19.3,6.5,476.4,5.4,77.5,免费评估
33,阿斯顿大学Aston University,70.1,88.5,86.4,73.2,16.0,6.8,368.8,5.6,76.3,免费评估
35,布里斯托大学University of Bristol,69.7,84.1,88.9,64.5,13.8,5.3,486.5,6.4,80.3,免费评估
36,伦敦国王学院King's College London,67.7,82.9,87.4,62.3,11.3,6.5,455.3,6.0,79.4,免费评估
37,伦敦城市大学City University London,67.5,83.1,84.3,68.9,16.2,7.5,379.0,6.0,74.4,免费评估
38,邓迪大学University of Dundee,67.4,90.9,91.9,71.1,13.9,5.9,409.5,5.6,71.2,免费评估
38,伦敦大学玛丽女王学院Queen Mary University of London,67.4,85.8,85.7,67.7,12.2,7.3,410.6,5.1,70.1,免费评估
40,伦敦大学皇家霍洛威学院Royal Holloway University of London,67.3,88.0,88.9,71.0,15.3,5.1,398.1,4.9,62.2,免费评估
41,阿伯丁大学University of Aberdeen,66.8,86.4,86.4,64.8,13.4,5.4,446.4,6.0,75.0,免费评估
42,基尔大学Keele University,66.4,93.0,91.1,76.1,13.9,3.8,357.8,4.8,73.1,免费评估
42,谢菲尔德大学The University of Sheffield,66.4,88.7,88.7,67.9,15.0,5.5,428.6,5.7,77.1,免费评估
44,伦敦艺术大学University of the Arts London,65.0,70.7,79.4,70.3,15.1,9.8,321.1,5.5,55.0,免费评估
45,英国女王大学Queen's University Belfast,64.7,87.3,88.5,71.2,15.1,4.6,383.5,6.1,75.4,免费评估
46,罗伯特高登大学The Robert Gordon University,64.4,86.8,85.2,69.5,19.6,3.8,384.6,5.1,81.1,免费评估
47,埃塞克斯大学University of Essex,64.2,89.4,88.1,75.3,15.1,3.6,312.8,5.1,67.0,免费评估
48,牛津布鲁克斯大学Oxford Brookes University,64.1,88.1,88.4,75.0,17.7,3.7,348.2,6.3,68.1,免费评估
49,朴茨茅斯大学University of Portsmouth,63.8,88.7,87.6,73.0,16.7,5.2,309.4,6.8,66.3,免费评估
50,伦敦大学金史密斯学院Goldsmiths University of London,63.7,86.4,89.2,67.8,14.8,3.9,359.9,6.8,54.2,免费评估
51,诺丁汉特伦特大学Nottingham Trent University,61.9,86.9,86.1,76.4,17.2,4.6,309.5,5.4,64.2,免费评估
52,斯旺西大学Swansea University,61.7,88.4,86.4,71.5,15.3,4.8,326.2,5.7,79.2,免费评估
53,布鲁内尔大学Brunel University,61.6,89.8,85.8,75.0,16.7,5.5,351.6,4.6,60.2,免费评估
54,赫尔大学The University of Hull,61.3,89.7,89.6,72.4,17.4,4.5,332.2,5.9,63.9,免费评估
54,林肯大学University of Lincoln,61.3,86.2,88.2,72.6,18.0,4.3,334.8,4.4,67.5,免费评估
54,格罗斯特大学University of Gloucestershire,61.3,85.4,86.1,72.4,19.9,5.2,316.5,7.7,58.1,免费评估
57,班戈大学Bangor University,61.0,90.1,88.5,76.0,16.5,4.8,320.4,4.3,67.6,免费评估
58,利物浦约翰摩尔斯大学Liverpool John Moores University,60.3,84.2,84.5,74.5,18.5,3.8,344.3,7.4,61.8,免费评估
59,利物浦大学The University of Liverpool,60.2,85.1,84.9,68.0,11.9,6.8,403.8,5.8,73.8,免费评估
59,哈德斯菲尔德大学University of Huddersfield,60.2,85.1,86.1,76.3,18.1,4.1,332.7,5.2,69.6,免费评估
61,巴斯斯巴大学Bath Spa University,60.0,88.7,89.9,78.0,19.0,5.1,317.5,5.7,56.8,免费评估
61,北安普顿大学The University of Northampton,60.0,89.8,89.5,78.4,20.3,5,283.1,6.6,60.2,免费评估
63,伯恩茅斯大学Bournemouth University,59.7,80.5,82.4,64.3,18.0,5.9,328.8,7.0,63.7,免费评估
64,龙比亚大学Napier University,59.3,85.0,86.0,71.8,20.4,3.8,347.6,7.5,61.3,免费评估
65,斯特林大学University of Stirling,59.2,87.7,87.6,68.8,15.0,4.1,375.6,4.0,70.2,免费评估
65,德蒙福特大学De Montfort University,59.2,86.7,85.5,73.8,18.7,3.9,307.2,6.3,69.7,免费评估
67,布莱顿大学University of Brighton,59.0,82.1,85.0,69.4,17.3,4.1,321.7,5.9,64.8,免费评估
68,诺桑比亚大学Northumbria University,58.9,84.4,84.4,70.4,18.0,3.7,363.0,6.2,62.3,免费评估
69,艾芝西尔大学Edge Hill University,58.6,85.5,88.2,76.5,15.7,4.2,319.3,4.7,58.5,免费评估
69,切斯特大学University of Chester,58.6,88.9,89.3,77.9,16.5,4.9,299.4,4.0,66.8,免费评估
71,奇切斯特大学University of Chichester,58.4,89.7,90.6,72.6,17.5,3.2,310.1,5.8,60.5,免费评估
72,布拉德福德大学University of Bradford,58.3,81.9,80.9,66.8,17.9,5,313.8,7.0,71.9,免费评估
73,德比大学University of Derby,58.1,85.8,87.3,75.1,15.4,5.3,290.0,4.6,54.8,免费评估
74,谢菲尔德哈莱姆大学Sheffield Hallam University,57.9,84.6,85.7,71.6,17.4,5.1,319.1,6.6,58.6,免费评估
75,温切斯特大学University of Winchester,57.6,89.1,88.9,73.2,16.9,2.9,307.6,6.8,52.4,免费评估
76,玛格丽特女王大学Queen Margaret University,57.5,86.5,87.2,68.1,19.1,2.7,341.1,6.8,63.7,免费评估
77,曼彻斯特城市大学Manchester Metropolitan University,57.3,83.3,83.7,72.3,17.8,3.3,346.9,5.6,60.7,免费评估
78,罗汉普顿大学Roehampton University,57.2,85.6,87.5,74.2,16.8,6,285.9,4.8,57.4,免费评估
79,赫特福德大学University of Hertfordshire,56.9,83.5,84.0,65.7,17.8,4.7,318.5,6.2,68.4,免费评估
79,西英格兰大学University of the West of England,56.9,83.9,85.3,66.3,19.7,3.4,324.3,6.7,68.6,免费评估
81,米德塞斯大学Middlesex University,56.5,84.9,83.8,74.8,18.6,7.1,269.9,5.6,56.9,免费评估
82,阿尔斯特大学University of Ulster,56.4,87.4,85.9,73.5,16.6,3.8,306.2,5.9,58.7,免费评估
83,斯塔福德郡大学Staffordshire University,56.0,84.6,86.8,72.9,17.0,6.2,274.1,4.9,55.7,免费评估
84,利兹圣三一大学Leeds Trinity University,55.9,86.2,88.0,79.2,21.7,3,283.7,5.5,65.7,免费评估
85,中央兰开夏大学University of Central Lancashire,55.6,84.2,84.6,74.9,17.3,5.8,315.5,4.6,59.9,免费评估
86,伯明翰城市大学Birmingham City University,54.6,83.7,85.7,74.0,20.4,4.7,299.6,6.2,63.2,免费评估
87,普利茅斯大学University of Plymouth,53.3,85.9,87.4,72.2,17.7,5.3,312.1,6.0,58.1,免费评估
88,剑桥安鲁大学Anglia Ruskin University,52.9,85.0,88.7,75.3,19.0,7.7,253.7,4.4,58.1,免费评估
89,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,52.4,83.4,83.1,65.8,21.2,4,372.1,5.3,67.1,免费评估
90,索尔福德大学University of Salford,51.9,78.6,81.8,70.9,17.0,4.5,334.3,4.8,56.7,免费评估
91,蒂赛德大学Teesside University,51.6,83.7,85.0,74.6,17.7,5.5,305.5,4.1,58.0,免费评估
92,格林威治大学The University of Greenwich,51.2,85.0,84.6,72.8,19.6,3.6,314.4,6.2,49.2,免费评估
93,阿伯泰邓迪大学University of Abertay Dundee,51.0,84.6,85.0,64.7,21.4,2.6,337.9,7.5,61.7,免费评估
94,泰晤士河谷大学Thames Valley University,50.6,81.6,82.6,71.9,17.3,5.4,258.5,4.7,67.7,免费评估
95,卡迪夫都市大学Cardiff Metropolitan University,50.4,86.5,85.7,75.8,19.0,3.8,317.1,4.7,58.8,免费评估
96,哥比亚大学University of Cumbria,49.2,86.8,88.2,78.5,22.3,2.9,298.8,5.8,62.5,免费评估
97,金斯顿大学Kingston University,49.1,78.5,80.8,67.2,19.4,4.6,299.5,5.0,54.3,免费评估
98,贝德福德大学University of Bedfordshire,49.0,84.4,85.0,75.2,18.3,5.4,229.2,4.9,59.5,免费评估
99,萨福克学院University Campus Suffolk,48.8,82.3,84.2,73.5,18.3,-,334.6,2.4,56.2,免费评估
100,"特威克南圣玛丽大学St Mary's, Twickenham",48.6,87.0,89.6,72.9,20.6,3.1,288.9,3.9,63.0,免费评估
101,威斯敏斯特大学University of Westminster,48.4,81.2,79.3,65.6,19.9,4.1,311.2,6.8,50.2,免费评估
101,坎特伯雷大学Canterbury Christ Church University,48.4,85.7,87.1,72.3,18.4,3,279.5,5.3,59.7,免费评估
103,格林多大学Glyndwr University,47.8,77.8,80.6,74.6,23.3,3.3,261.2,4.9,64.9,免费评估
104,利物浦霍普大学Liverpool Hope University,47.7,81.4,85.7,77.3,19.4,2.9,304.1,3.2,53.4,免费评估
105,波尔顿大学University of Bolton,47.0,78.7,82.1,73.1,17.9,4.4,286.9,3.4,57.8,免费评估
106,东伦敦大学University of East London,46.5,81.9,84.3,73.0,23.6,6.7,280.3,5.1,50.6,免费评估
107,约克圣约翰大学York St John University,46.2,83.4,85.4,68.5,20.6,3.8,291.6,4.6,64.7,免费评估
108,伍斯特大学University of Worcester,45.5,82.6,85.0,69.1,19.1,2,301.4,5.4,61.1,免费评估
109,桑德兰大学University of Sunderland,44.8,83.2,85.1,72.9,19.7,6.5,294.3,4.4,51.3,免费评估
110,亚伯大学Aberystwyth University,44.2,82.4,85.8,65.3,17.9,4.4,312.3,3.9,53.3,免费评估
111,伦敦南岸大学London South Bank University,43.3,79.3,82.1,67.5,17.2,4.2,247.6,4.8,49.1,免费评估
112,纽曼大学Newman University,42.9,88.2,89.0,75.3,18.9,3.8,294.6,3.0,57.9,免费评估
113,南威尔士大学The University of South Wales,42.7,79.6,81.8,69.0,20.5,3.5,320.2,4.6,54.8,免费评估
114,南安普顿索伦特大学Southampton Solent University,42.6,79.7,80.6,69.1,18.3,3.7,276.2,3.8,50.8,免费评估
115,西苏格兰大学University of the West of Scotland,42.4,84.0,83.1,65.9,21.1,3.7,305.0,5.9,58.4,免费评估
116,利兹贝克特大学Leeds Beckett University,40.4,81.2,82.2,68.0,20.9,3.3,287.7,4.5,54.8,免费评估
117,圣大卫三一学院University of Wales Trinity Saint David,36.3,79.9,84.4,72.4,22.4,4.2,265.6,2.7,50.7,免费评估
118,伦敦都市大学London Metropolitan University,32.3,75.9,77.6,65.5,19.6,2.8,238.4,4.2,47.1,免费评估
119,新白金汉大学Buckinghamshire New University,31.3,75.0,79.3,67.9,21.8,2.5,257.9,4.1,53.5,免费评估
