Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
89,Ghent University,Belgium,1,5.4,13.7,17.7,18.7,55.6,30.0,25.4,免费评估
90,昆士兰大学The University of Queensland,Australia,3,13.3,0.0,21.7,23.1,58.7,25.7,25.3,免费评估
91,莱斯大学Rice University,UnitedStates,50,17.1,22.4,21.5,23.9,30.6,30.0,25.1,免费评估
92,麦克马斯特大学McMaster University,Canada,4,13.3,19.4,24.0,15.6,45.2,21.5,25.0,免费评估
93,Texas A&M University - College Station,UnitedStates,51,0.0,0.0,33.9,22.5,53.2,19.2,24.6,免费评估
93,悉尼大学The University of Sydney,Australia,4,15.3,0.0,19.1,18.7,62.3,23.7,24.6,免费评估
93,Weizmann Institute of Science,Israel,3,13.3,16.8,24.0,32.0,28.4,22.8,24.6,免费评估
96,密歇根州立大学Michigan State University,UnitedStates,52,9.4,0.0,36.9,16.3,51.5,18.0,24.4,免费评估
96,Nagoya University,Japan,4,23.0,14.6,16.2,21.5,44.7,20.0,24.4,免费评估
96,西澳大学The University of Western Australia,Australia,5,14.3,14.6,25.8,13.3,44.2,26.7,24.4,免费评估
99,凯斯西储大学Case Western Reserve University,UnitedStates,53,32.1,11.2,21.7,18.7,39.3,22.2,24.3,免费评估
99,University of Freiburg,Germany,4,19.6,19.4,15.9,24.0,37.5,22.9,24.3,免费评估
