Ranking,University Name,Average Teaching Score,NSS Teaching,Spend per student,Student:taff ratio,Career prospects,Value added score,Entry Tariff,NSS Feedback,Free
29,斯莱大,64.2,82.0,6.2,17.0,72.0,6.6,321.0,58.0,免费评估
30,伯翰学,64.1,85.0,7.2,15.0,67.0,5.3,399.0,57.0,免费评估
31,布斯大,63.7,85.0,5.7,15.0,79.0,5.9,431.0,51.0,免费评估
32,斯林学,62.9,,4.4,15.0,69.0,6.5,284.0,,免费评估
33,卡夫学,62.7,84.0,6.4,14.0,72.0,5.2,382.0,56.0,免费评估
34,萨克大,62.4,84.0,4.5,15.0,58.0,7.8,388.0,55.0,免费评估
35,伦敦大学皇家霍洛威学院Royal Holloway University of London,62.2,83.0,5.0,15.0,63.0,5.2,361.0,60.0,免费评估
36,埃克大,62.1,82.0,5.3,14.0,60.0,5.5,307.0,64.0,免费评估
37,谢尔大,62.0,86.0,4.2,15.0,70.0,5.9,403.0,57.0,免费评估
38,伯茅大,61.8,78.0,5.3,20.0,69.0,6.3,280.0,61.0,免费评估
39,雷大,61.4,84.0,4.9,16.0,61.0,6.7,338.0,60.0,免费评估
40,东吉大,61.3,90.0,6.0,18.0,59.0,5.9,358.0,67.0,免费评估
41,诺丁汉特伦特大学Nottingham Trent University,60.9,77.0,6.2,18.0,71.0,5.4,265.0,58.0,免费评估
42,金密学,60.7,84.0,4.1,16.0,59.0,6.1,302.0,60.0,免费评估
43,纽斯大,60.4,82.0,5.4,15.0,73.0,5.6,395.0,54.0,免费评估
44,利浦学,60.1,84.0,5.6,13.0,68.0,5.8,377.0,56.0,免费评估
45,伦敦艺术大学University of the Arts London,60.0,72.0,9.4,21.0,48.0,4.6,296.0,56.0,免费评估
46,英国女王大学Queen's University Belfast,59.8,84.0,4.6,15.0,73.0,6.6,359.0,57.0,免费评估
47,伦大玛女学,59.7,83.0,6.5,13.0,71.0,5.0,338.0,60.0,免费评估
48,普利茅斯大学University of Plymouth,59.3,82.0,7.2,16.0,52.0,7.7,271.0,60.0,免费评估
49,龙亚学,59.1,,4.0,18.0,75.0,8.0,246.0,,免费评估
50,罗特登学,58.6,,3.9,18.0,76.0,5.4,318.0,,免费评估
51,纽大学,58.4,91.0,3.0,19.0,81.0,5.5,230.0,74.0,免费评估
52,赫特学,56.6,77.0,5.6,17.0,71.0,4.7,340.0,57.0,免费评估
53,赫大,56.4,87.0,4.7,19.0,67.0,5.4,289.0,66.0,免费评估
54,布内大,56.2,76.0,4.5,16.0,60.0,7.0,312.0,58.0,免费评估
55,格斯喀多亚学,55.8,80.0,3.7,20.0,56.0,7.7,313.0,59.0,免费评估
56,伯翰市学,55.6,,5.5,16.0,60.0,6.5,261.0,,免费评估
57,牛鲁大,55.4,82.0,4.6,18.0,62.0,6.0,291.0,63.0,免费评估
58,格摩大,55.1,82.0,5.8,16.0,53.0,5.0,233.0,64.0,免费评估
59,格斯大,55.0,79.0,6.4,17.0,56.0,6.0,254.0,62.0,免费评估
59,阿斯大,55.0,78.0,4.4,16.0,59.0,7.1,275.0,59.0,免费评估
61,班大,54.6,85.0,5.3,18.0,62.0,4.6,275.0,61.0,免费评估
62,中兰夏学,54.2,81.0,5.7,18.0,62.0,4.3,269.0,67.0,免费评估
63,布德德学,54.0,80.0,4.6,20.0,64.0,6.4,284.0,63.0,免费评估
63,布顿学,54.0,78.0,5.3,15.0,71.0,5.5,266.0,61.0,免费评估
65,巴斯大,53.7,85.0,4.0,20.0,53.0,7.5,264.0,69.0,免费评估
66,西英格兰大学University of the West of England,52.8,83.0,3.8,19.0,61.0,6.2,256.0,63.0,免费评估
67,斯塔福德大学,52.5,81.0,6.3,18.0,51.0,5.5,243.0,63.0,免费评估
68,玛特大,52.4,,4.1,20.0,67.0,5.5,276.0,,免费评估
69,阿斯大,51.1,87.0,4.5,19.0,53.0,4.9,296.0,66.0,免费评估
70,圣丽学,50.6,88.0,2.6,22.0,61.0,7.2,243.0,69.0,免费评估
71,安利鲁金学,50.3,80.0,6.4,17.0,56.0,5.4,244.0,62.0,免费评估
72,桑兰学,49.9,79.0,5.1,16.0,54.0,5.3,247.0,65.0,免费评估
73,朴茅大,49.6,85.0,4.3,19.0,62.0,4.3,269.0,65.0,免费评估
74,伍特学,49.4,86.0,4.7,20.0,59.0,4.7,234.0,66.0,免费评估
75,考垂学,49.0,81.0,4.3,20.0,59.0,7.3,257.0,66.0,免费评估
76,诺比大,48.5,78.0,4.5,21.0,64.0,4.8,288.0,58.0,免费评估
77,威士学地学,48.1,76.0,4.2,20.0,52.0,5.6,242.0,58.0,免费评估
78,谢尔哈姆学,47.2,80.0,4.0,20.0,57.0,6.4,261.0,60.0,免费评估
79,北普大,47.1,83.0,3.4,19.0,53.0,6.0,222.0,67.0,免费评估
80,切特学,47.0,84.0,3.7,18.0,54.0,4.8,268.0,66.0,免费评估
81,蒂德学,46.7,82.0,5.2,20.0,53.0,4.5,244.0,68.0,免费评估
82,德福大,46.2,78.0,3.8,17.0,61.0,4.4,242.0,62.0,免费评估
83,斯西学,45.9,84.0,4.5,15.0,58.0,3.6,290.0,60.0,免费评估
84,纽特学,45.8,77.0,4.4,20.0,57.0,4.7,204.0,70.0,免费评估
85,泰晤士河谷大学Thames Valley University,45.5,76.0,4.3,21.0,59.0,5.4,205.0,62.0,免费评估
86,萨福学,44.9,78.0,4.5,18.0,59.0,4.8,261.0,58.0,免费评估
87,奇斯大,44.8,89.0,3.0,20.0,52.0,3.5,252.0,72.0,免费评估
88,金顿学,44.4,79.0,4.8,20.0,55.0,4.6,232.0,58.0,免费评估
89,坎特伯雷大学Canterbury Christ Church University,44.3,84.0,4.1,18.0,60.0,3.9,243.0,64.0,免费评估
89,哈斯尔大,44.3,80.0,3.7,20.0,50.0,5.4,254.0,65.0,免费评估
91,贝福大,44.1,82.0,4.1,21.0,53.0,5.0,204.0,66.0,免费评估
92,曼斯城大,43.8,78.0,3.5,20.0,56.0,4.4,267.0,61.0,免费评估
93,利三学,43.7,78.0,2.5,23.0,59.0,3.3,315.0,58.0,免费评估
94,圣克圣翰院,43.6,88.0,2.6,22.0,56.0,4.6,223.0,70.0,免费评估
95,格拉斯哥大学University of Glasgow,43.4,77.0,4.2,20.0,69.0,3.3,265.0,57.0,免费评估
95,温斯大,43.4,82.0,2.3,18.0,46.0,5.1,263.0,65.0,免费评估
97,利城大,43.1,74.0,5.7,24.0,55.0,5.3,259.0,55.0,免费评估
98,德大,43.0,80.0,4.4,20.0,45.0,4.8,255.0,65.0,免费评估
99,斯城学,42.9,81.0,2.9,21.0,51.0,4.6,201.0,63.0,免费评估
100,赫福大,42.8,75.0,4.3,16.0,58.0,4.1,246.0,56.0,免费评估
101,林大,41.4,80.0,3.2,24.0,47.0,5.0,259.0,64.0,免费评估
102,威敏特学,41.2,74.0,4.0,16.0,46.0,4.9,241.0,57.0,免费评估
103,艾希大,40.9,85.0,3.3,22.0,55.0,3.7,247.0,67.0,免费评估
103,威士北院,40.9,79.0,3.5,20.0,55.0,4.6,217.0,65.0,免费评估
105,阿泰迪学,40.7,,3.9,20.0,48.0,5.6,255.0,,免费评估
106,罗普大,39.4,82.0,4.1,21.0,53.0,4.2,222.0,60.0,免费评估
107,约克圣约翰大学York St John University,38.9,84.0,4.4,22.0,53.0,3.6,279.0,62.0,免费评估
108,米塞大,37.9,73.0,6.9,22.0,57.0,4.5,194.0,56.0,免费评估
109,利浦翰尔大,37.8,76.0,3.4,20.0,59.0,4.1,244.0,59.0,免费评估
109,南普索特学,37.8,76.0,3.8,21.0,53.0,3.1,219.0,59.0,免费评估
111,东伦敦大学University of East London,34.9,77.0,5.2,21.0,53.0,2.8,182.0,59.0,免费评估
112,格威大,34.2,73.0,4.5,23.0,59.0,3.6,198.0,58.0,免费评估
113,伍弗普大,33.9,76.0,4.1,19.0,53.0,3.1,192.0,60.0,免费评估
114,新金大,33.2,74.0,3.7,19.0,42.0,3.2,197.0,62.0,免费评估
115,兰得学,32.8,86.0,2.8,25.0,47.0,4.7,257.0,57.0,免费评估
116,伦南大,32.1,78.0,3.3,25.0,50.0,5.0,185.0,60.0,免费评估
117,波顿学,28.3,80.0,2.6,21.0,47.0,5.0,189.0,67.0,免费评估
