Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
330,埃塞克斯大学University of Essex,United Kingdom,-,-,-,99.2,99.8,47.6,34.6,免费评估
330,叶史瓦大学Yeshiva University,United States,-,-,98.8,-,24.7,56.6,34.6,免费评估
335,Ewha Womans University,South Korea,-,-,80.8,-,35.1,-,34.5,免费评估
336,格里菲斯大学Griffith University,Australia,31.7,32.5,-,98,64.1,36.5,34.4,免费评估
337,Gwangju Institute of Science and Technology (GIST),South Korea,-,-,35,-,-,100,34.3,免费评估
338,Università?di Padova,Italy,56,-,-,-,-,24.3,34.2,免费评估
338,University of Jyv?skyl?,Finland,-,-,81.7,36.7,-,-,34.2,免费评估
340,梅西大学Massey University,New Zealand,33.7,-,-,96.5,73.4,-,34.1,免费评估
340,詹姆斯·库克大学James Cook University,Australia,-,-,-,96.9,83.9,49.4,34.1,免费评估
342,University at Buffalo SUNY,United States,-,-,-,68,66.4,72.9,34.0,免费评估
343,林肯大学Lincoln University,New Zealand,-,-,58,91.7,93.9,37.9,33.9,免费评估
343,University of Hawai'i at Ma?oa,United States,-,-,56.6,64.7,25.8,40.2,33.9,免费评估
345,布鲁内尔大学Brunel University,United Kingdom,-,-,-,97.5,99.6,48.8,33.8,免费评估
345,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,-,-,99.6,28.9,-,-,33.8,免费评估
347,University of Cologne,Germany,42.9,54.9,-,32.2,28.7,-,33.6,免费评估
347,University of Tartu,Estonia,28.7,-,72.9,17.4,-,-,33.6,免费评估
347,University Ulm,Germany,-,-,64.7,52.9,33.7,52.6,33.6,免费评估
350,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,-,-,98.4,22.8,36.5,-,33.4,免费评估
350,Moscow State Institute of International Relations (MGIMO University),Russia,-,32.1,99.4,-,36.1,-,33.4,免费评估
352,Universit?t Konstanz,Germany,33.7,-,40.4,58.7,33,23.2,33.2,免费评估
352,Universidad de Belgrano,Argentina,-,60.5,80.6,-,89.9,-,33.2,免费评估
354,Belarus State University,Belarus,-,-,92.4,-,22.9,-,33.0,免费评估
355,迪肯大学Deakin University,Australia,31.9,38.5,-,98.5,54.8,35.7,32.9,免费评估
356,Université Paris Dauphine,France,31.2,67,-,45,86.2,-,32.8,免费评估
356,Lappeenranta University of Technology,Finland,-,-,99.9,45.5,25.9,-,32.8,免费评估
358,阿斯顿大学Aston University,United Kingdom,-,43.3,-,98.1,82.1,38.3,32.7,免费评估
359,University of the Witwatersrand,South Africa,33.9,34.2,-,95.9,-,30.3,32.6,免费评估
359,牛津布鲁克斯大学Oxford Brookes University,United Kingdom,30.9,69,-,66,84.8,-,32.6,免费评估
361,弗吉尼亚理工大学Virginia Polytechnic Institute and State University,United States,31.8,40.2,25.6,20.4,21.4,42.2,32.4,免费评估
361,东北大学Northeastern University,United States,-,37.5,27.4,57,96.2,40,32.4,免费评估
363,乔治华盛顿大学George Washington University,United States,32.4,37.8,27.1,35.3,47.9,29.6,32.3,免费评估
363,Universit?t Jena,Germany,-,-,78.2,-,33.2,22,32.3,免费评估
365,The American University in Cairo,Egypt,31.6,61.4,35.5,96.9,-,-,32.2,免费评估
366,University of Warsaw,Poland,42.5,48.1,35.4,-,-,-,32.1,免费评估
366,Universidade Nova de Lisboa,Portugal,29.3,51.7,38.7,36.1,26.6,21.4,32.1,免费评估
366,肯特大学University of Kent,United Kingdom,-,-,32.4,97.7,90.7,25.6,32.1,免费评估
369,Kobe University,Japan,31.7,30.8,59.2,-,-,-,32.0,免费评估
370,University of Milan,Italy,48.2,-,-,-,-,34.4,31.9,免费评估
370,塔斯马尼亚大学University of Tasmania,Australia,-,-,-,92.6,75.9,35.7,31.9,免费评估
372,Laval University,Canada,29,-,29.1,69.9,35,31.5,31.8,免费评估
373,堪萨斯大学University of Kansas,United States,-,-,76.9,17.6,21.6,24.3,31.7,免费评估
374,University of the Philippines,Philippines,42.5,46.9,46,-,-,-,31.5,免费评估
374,Aalborg University,Denmark,-,48.6,-,72.2,47.3,27.3,31.5,免费评估
374,"University of Colorado, Denver",United States,-,-,100,-,22.1,-,31.5,免费评估
377,Université Paris Descartes,France,30.8,-,32,19.6,53.2,37.5,31.4,免费评估
377,Tomsk State University,Russia,-,-,83.5,23.7,57.3,-,31.4,免费评估
377,University of Troms? The Arctic University of Norway,Norway,-,-,96.7,17.3,29.9,-,31.4,免费评估
380,Dublin City University,Ireland,-,36.9,36.2,86.1,57.5,24,31.3,免费评估
380,University of Texas Dallas,United States,-,-,-,-,48,88.9,31.3,免费评估
382,University of Eastern Finland,Finland,-,-,62.1,42.9,-,27.6,31.2,免费评估
382,V. N. Karazin Kharkiv National University,Ukraine,-,-,88.4,-,97.7,-,31.2,免费评估
384,美利坚大学American University,United States,35.4,55.7,30.8,-,35.2,-,31.1,免费评估
385,斯特林大学University of Stirling,United Kingdom,-,-,-,73,64.2,56.5,31.0,免费评估
386,Colorado State University,United States,29.8,36.6,-,22.7,-,49.5,30.9,免费评估
386,Chung-Ang University(CAU),South Korea,-,-,82.6,17.3,37.3,-,30.9,免费评估
386,拉筹伯大学La Trobe University,Australia,-,30.8,-,97.8,95.1,26,30.9,免费评估
389,Beijing Institute of Technology,China,33.3,31.5,31,-,-,37.7,30.8,免费评估
390,"Stony Brook University, State University of New York",United States,-,-,40.4,-,86.6,41.9,30.7,免费评估
390,斯望西大学Swansea University,United Kingdom,-,-,40.1,67.9,70.1,32.2,30.7,免费评估
390,University of Southern Denmark,Denmark,-,-,37.9,76,49.6,25.5,30.7,免费评估
393,爱荷华大学University of Iowa,United States,28.8,-,36,-,33.4,43.7,30.6,免费评估
393,Qatar University,Qatar,-,-,53.7,100,99.9,-,30.6,免费评估
395,Stellenbosch University,South Africa,32.2,-,-,74.4,-,44.7,30.5,免费评估
395,Washington State University,United States,31.7,-,-,68,-,33.2,30.5,免费评估
395,National Sun Yat-sen University,Taiwan,28.2,-,-,16.6,-,58.2,30.5,免费评估
395,National Technical University of Athens,Greece,-,58.7,-,-,-,48.7,30.5,免费评估
399,Indian Institute of Technology Roorkee (IITR),India,-,32,-,-,-,80.4,30.4,免费评估
400,Leibniz Universit?t Hannover,Germany,-,-,-,-,26.6,83.4,30.3,免费评估
400,National Research Tomsk Polytechnic University,Russia,-,-,94.6,20.8,76.3,-,30.3,免费评估
