Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
73,Erasmus University,Netherlands,3,0.0,14.7,54.6,14.2,34.3,42.9,28.4,免费评估
74,莱斯大学Rice University,USA,37,16.1,21.4,39.3,18.5,30.9,39.5,28.2,免费评估
74,Stockholm University,Sweden,3,23.8,27.1,21.8,21.2,41.8,28.2,28.2,免费评估
76,Swiss Federal Institute of Technology Lausanne,Switzerland,4,0.0,0.0,39.3,33.0,42.6,45.7,28.1,免费评估
77,普渡大学Purdue University,USA,38,13.4,22.8,18.9,25.4,51.5,23.7,28.0,免费评估
78,蒙纳什大学Monash University,Australia,3,0.0,0.0,37.8,22.8,60.5,30.9,27.9,免费评估
79,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",USA,39,10.2,18.6,34.5,25.2,43.4,18.6,27.8,免费评估
80,波士顿大学Boston University,USA,40,11.4,11.4,30.9,24.7,51.2,23.9,27.7,免费评估
80,卡内基梅隆大学Carnegie Mellon University,USA,40,31.3,31.2,24.4,14.1,34.9,30.9,27.7,免费评估
80,俄亥俄州立大学Ohio State University,USA,40,12.4,0.0,36.2,21.2,62.5,19.3,27.7,免费评估
83,悉尼大学The University of Sydney,Australia,4,14.4,0.0,28.9,18.2,66.4,28.4,27.5,免费评估
84,Nagoya University,Japan,3,28.7,25.0,18.9,18.3,44.3,24.7,27.2,免费评估
85,佐治亚理工学院Georgia Institute of Technology,USA,43,12.4,0.0,40.8,24.3,44.8,33.1,27.1,免费评估
85,宾州州立大学Pennsylvania State University,USA,43,10.2,0.0,32.7,28.6,54.4,24.1,27.1,免费评估
85,"加州大学戴维斯分校University of California,Davis",USA,43,0.0,0.0,30.9,31.2,58.6,24.8,27.1,免费评估
88,Leiden University,Netherlands,4,17.6,9.3,26.7,20.7,50.6,32.8,27.0,免费评估
88,佛罗里达大学University of Florida,USA,46,16.8,0.0,30.9,19.5,61.0,24.4,27.0,免费评估
90,KU Leuven,Belgium,2,0.0,0.0,34.5,22.9,58.6,31.1,26.9,免费评估
91,National University of Singapore,Singapore,1,0.0,0.0,32.7,20.6,60.1,35.5,26.8,免费评估
91,西澳大学The University of Western Australia,Australia,5,13.4,13.9,28.9,15.8,49.5,33.1,26.8,免费评估
93,Moscow State University,Russia,1,40.9,32.6,0.0,8.9,51.6,33.8,26.6,免费评估
93,Technion-Israel Institute of Technology,Israel,1,23.3,37.2,15.4,18.7,33.0,28.6,26.6,免费评估
95,University of Basel,Switzerland,5,19.0,16.1,18.9,25.5,40.1,37.4,26.3,免费评估
95,University of Goettingen,Germany,4,30.5,14.7,24.4,22.1,38.5,28.3,26.3,免费评估
97,澳大利亚国立大学The Australian National University,Australia,6,13.4,19.0,15.4,24.5,47.2,30.5,26.1,免费评估
98,加利福尼亚大学圣克鲁兹分校University of California， Santa Cruz,USA,47,0.0,0.0,47.6,29.5,29.1,42.1,26.0,免费评估
99,卡迪夫大学Cardiff University,UK,9,0.0,16.1,36.2,17.3,43.0,28.6,25.9,免费评估
99,亚利桑那州立大学Arizona State University,USA,48,14.4,0.0,30.9,27.3,49.0,24.7,25.9,免费评估
