Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
46,The University of Texas Southwestern Medical Center at Dallas,UnitedStates,32,19.3,34.7,30.6,32.9,34.6,20.6,31.4,免费评估
47,"加州大学戴维斯分校University of California,Davis",UnitedStates,33,0.0,0.0,47.3,33.6,58.6,25.8,31.3,免费评估
47,南加州大学University of Southern California,UnitedStates,33,0.0,26.8,39.6,25.1,51.3,19.1,31.3,免费评估
49,范德堡大学Vanderbilt University,UnitedStates,35,16.0,29.2,32.4,21.0,50.9,18.4,31.0,免费评估
50,Technical University Munich,Germany,1,36.3,21.7,24.6,22.4,46.7,30.4,30.6,免费评估
51,爱丁堡大学The University of Edinburgh,UnitedKingdom,6,21.4,13.4,27.1,33.6,50.9,25.3,30.5,免费评估
52,卡内基梅隆大学Carnegie Mellon University,UnitedStates,36,33.0,31.8,30.7,18.1,34.0,33.6,30.4,免费评估
52,Utrecht University,Netherlands,1,23.9,20.1,29.9,25.9,47.1,25.1,30.4,免费评估
54,宾州州立大学Pennsylvania State University,UnitedStates,37,10.7,0.0,47.1,31.4,52.0,21.8,30.2,免费评估
54,University of Heidelberg,Germany,2,14.1,25.5,19.1,28.5,51.1,30.9,30.2,免费评估
54,墨尔本大学The University of Melbourne,Australia,1,17.7,13.4,24.0,24.4,62.5,27.1,30.2,免费评估
57,普渡大学Purdue University,UnitedStates,38,14.1,23.2,28.9,26.7,49.6,21.7,30.1,免费评估
58,麦吉尔大学McGill University,Canada,3,31.6,0.0,31.5,26.1,58.8,25.9,29.9,免费评估
59,The Hebrew University of Jerusalem,Israel,1,33.4,28.4,25.1,21.5,38.7,28.8,29.8,免费评估
60,University of Zurich,Switzerland,2,5.3,24.2,25.9,28.1,50.9,25.3,29.7,免费评估
61,"罗格斯大学Rutgers, The State University of New Jersey, New Brunswick",UnitedStates,39,10.7,19.0,38.9,26.2,43.0,22.1,29.5,免费评估
61,University of Munich,Germany,3,26.7,19.3,16.2,28.1,51.2,30.4,29.5,免费评估
61,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,UnitedStates,39,19.3,0.0,42.2,21.8,60.8,18.0,29.5,免费评估
64,布里斯托大学University of Bristol,UnitedKingdom,7,7.6,16.4,28.9,32.8,45.7,28.8,29.2,免费评估
65,俄亥俄州立大学Ohio State University,UnitedStates,41,13.1,0.0,40.5,25.9,58.9,18.0,29.0,免费评估
66,澳大利亚国立大学The Australian National University,Australia,2,14.1,19.4,32.3,24.0,43.0,29.3,28.9,免费评估
67,布朗大学Brown University,UnitedStates,42,15.1,13.4,32.4,27.7,42.6,32.6,28.8,免费评估
67,伦敦国王学院King's College London,UnitedKingdom,8,13.1,21.2,30.7,17.4,52.5,23.2,28.8,免费评估
69,University of Geneva,Switzerland,3,22.7,28.4,20.5,27.9,37.7,27.5,28.7,免费评估
69,University of Oslo,Norway,1,18.5,32.8,17.7,16.5,50.6,25.6,28.7,免费评估
71,Ecole Normale Superieure - Paris,France,3,51.0,28.2,12.4,16.7,26.7,58.3,28.5,免费评估
71,佛罗里达大学University of Florida,UnitedStates,43,17.7,0.0,37.4,22.5,61.0,17.6,28.5,免费评估
73,Uppsala University,Sweden,2,18.5,27.6,14.5,24.7,47.9,24.7,28.0,免费评估
74,Leiden University,Netherlands,2,18.5,9.5,28.9,23.0,47.9,33.1,27.8,免费评估
75,波士顿大学Boston University,UnitedStates,44,12.0,11.6,29.8,24.7,50.8,20.9,27.4,免费评估
76,赫尔大学University of Hull,Finland,1,13.1,16.4,24.0,19.9,51.1,28.8,27.2,免费评估
77,Technion-Israel Institute of Technology,Israel,2,20.7,37.9,16.2,16.8,34.6,26.7,26.6,免费评估
78,亚利桑那州立大学Arizona State University,UnitedStates,45,15.1,0.0,29.8,32.4,49.0,20.4,26.5,免费评估
79,Arizona State University - Tempe,UnitedStates,46,0.0,20.1,27.1,27.5,42.5,18.9,26.1,免费评估
79,Moscow State University,Russia,1,43.1,33.3,0.0,8.8,48.1,30.5,26.1,免费评估
81,Aarhus University,Denmark,2,12.0,22.2,7.2,25.6,50.9,28.5,26.0,免费评估
82,Stockholm University,Sweden,3,25.1,27.6,16.2,19.1,38.3,23.5,25.8,免费评估
83,University of Basel,Switzerland,4,20.0,16.4,24.9,18.6,37.5,34.1,25.6,免费评估
83,诺丁汉大学The University of Nottingham,UnitedKingdom,9,12.0,20.1,24.0,17.9,46.1,20.5,25.6,免费评估
85,Ghent University,Belgium,1,5.3,13.4,17.7,19.6,55.3,30.2,25.5,免费评估
85,印第安纳大学伯明顿主校区Indiana University Bloomington,UnitedStates,47,10.7,21.7,27.1,20.4,39.7,19.9,25.5,免费评估
85,Osaka University,Japan,3,9.3,0.0,27.1,29.0,53.3,20.6,25.5,免费评估
85,昆士兰大学The University of Queensland,Australia,3,13.1,0.0,21.7,22.5,60.0,26.5,25.5,免费评估
85,犹他大学University of Utah,UnitedStates,47,0.0,11.6,30.7,26.9,45.6,18.1,25.5,免费评估
90,罗彻斯特大学University of Rochester,UnitedStates,49,25.6,7.7,28.0,22.6,41.8,21.2,25.4,免费评估
91,西澳大学The University of Western Australia,Australia,4,14.1,14.2,25.8,14.8,45.8,27.3,25.0,免费评估
92,麦克马斯特大学McMaster University,Canada,4,13.1,19.0,24.0,16.0,44.7,21.6,24.9,免费评估
92,密歇根州立大学Michigan State University,UnitedStates,50,9.3,0.0,36.9,18.7,51.5,18.6,24.9,免费评估
92,莱斯大学Rice University,UnitedStates,50,16.9,21.9,21.5,24.1,29.5,30.9,24.9,免费评估
92,University of Groningen,Netherlands,3,0.0,19.0,17.7,18.7,51.4,28.8,24.9,免费评估
92,Weizmann Institute of Science,Israel,3,13.1,16.4,24.0,33.5,28.4,24.5,24.9,免费评估
97,University of Strasbourg,France,4,26.2,26.3,17.7,18.5,34.6,20.3,24.7,免费评估
97,悉尼大学The University of Sydney,Australia,5,15.1,0.0,19.1,19.2,62.5,23.9,24.7,免费评估
99,凯斯西储大学Case Western Reserve University,UnitedStates,52,31.6,10.9,21.7,20.6,39.2,22.6,24.6,免费评估
100,University of Freiburg,Germany,4,19.3,19.0,15.9,24.4,37.2,24.2,24.3,免费评估
