Ranking,University Name,Guardian score,Satisfied with course,Satisfied with teaching,Satisfied with feedback,Student:taff ratio,Spend per student,Entry Tariff,Value added score,Career after 6 mths,Free
43,莱斯特大学University of Leicester,62.8,87.5,86.7,72.1,13.0,7.2,143.8,4.1,74.9,免费评估
44,伦敦大学玛丽女王学院Queen Mary University of London,62.6,82.7,84.7,66.1,12.5,7.2,151.9,4.9,78.4,免费评估
45,斯旺西大学Swansea University,62.5,89.4,87.0,73.6,15.2,5.3,119.1,6.4,80.1,免费评估
46,阿伯丁大学University of Aberdeen,62.3,86.7,88.2,68.3,14.9,4.5,168.6,6.3,78.3,免费评估
47,Lincoln,61.9,90.6,89.9,78.0,15.6,4.4,129.4,4.3,71.9,免费评估
48,埃塞克斯大学University of Essex,61.1,89.1,87.6,76.6,16.0,3.9,129.0,5.2,73.5,免费评估
48,诺桑比亚大学Northumbria University,61.1,86.9,87.8,75.5,17.1,3.4,143.7,6.8,71.3,免费评估
50,牛津布鲁克斯大学Oxford Brookes University,60.8,87.0,88.5,74.7,16.6,4.9,127.3,6.3,70.6,免费评估
51,阿斯顿大学Aston University,60.7,88.3,87.7,74.6,20.9,6.5,136.4,5.4,81.1,免费评估
52,西英格兰大学University of the West of England,60.6,87.5,89.7,76.9,18.1,4.2,122.5,6.5,76.4,免费评估
52,思克莱德大学University of Strathclyde,60.6,89.2,89.7,67.0,19.7,5.2,202.4,4.9,78.6,免费评估
54,斯特林大学University of Stirling,60.2,89.4,88.5,73.7,15.8,3.9,157.3,6.2,78.2,免费评估
54,德比大学University of Derby,60.2,85.2,88.9,76.1,14.8,6.2,110.3,5.3,63.7,免费评估
56,艾芝西尔大学Edge Hill University,59.4,86.1,88.4,79.5,14.2,4.0,127.4,4.7,71.9,免费评估
56,利物浦霍普大学Liverpool Hope University,59.4,88.8,91.7,85.1,15.5,2.8,112.6,2.8,78.1,免费评估
58,泰晤士河谷大学Thames Valley University,59.3,76.7,82.6,72.9,15.6,5.8,118.8,6.4,68.9,免费评估
59,伦敦艺术大学University of the Arts London,59.0,66.2,75.3,70.7,15.9,9.8,120.5,5.5,61.0,免费评估
60,哈德斯菲尔德大学University of Huddersfield,58.2,87.6,87.9,78.9,18.9,3.6,130.5,5.7,72.9,免费评估
61,伯恩茅斯大学Bournemouth University,57.9,82.1,87.1,70.2,16.5,5.6,122.4,6.9,71.3,免费评估
62,罗伯特高登大学The Robert Gordon University,57.7,87.4,85.7,69.5,18.1,3.8,163.8,4.5,77.6,免费评估
63,班戈大学Bangor University,57.6,89.3,90.4,77.5,16.2,3.9,126.6,3.9,66.0,免费评估
64,格罗斯特大学University of Gloucestershire,57.0,87.4,88.4,75.9,19.1,5.2,114.5,6.9,64.0,免费评估
64,伦敦大学金史密斯学院Goldsmiths University of London,57.0,83.6,88.9,68.9,14.1,3.8,130.5,6.3,59.0,免费评估
66,阿伯泰邓迪大学University of Abertay Dundee,56.8,88.8,89.3,76.5,19.9,2.3,158.5,6.7,68.5,免费评估
67,利物浦大学The University of Liverpool,56.7,89.5,89.3,74.2,13.5,6.4,150.4,5.6,77.0,免费评估
67,斯塔福德郡大学Staffordshire University,56.7,85.7,88.0,78.6,15.2,5.9,114.1,4.5,57.1,免费评估
67,中央兰开夏大学University of Central Lancashire,56.7,83.4,84.0,73.9,16.3,5.2,135.7,5.3,64.8,免费评估
70,米德塞斯大学Middlesex University,55.9,81.5,81.7,74.9,16.6,6.6,117.2,5.1,71.4,免费评估
71,桑德兰大学University of Sunderland,55.5,80.6,85.0,73.8,15.4,6.9,112.0,4.8,66.6,免费评估
72,奇切斯特大学University of Chichester,55.2,88.2,89.0,72.9,15.6,3.1,120.6,6.1,59.3,免费评估
72,布鲁内尔大学Brunel University,55.2,83.5,84.4,74.3,15.8,4.4,131.3,5.4,70.8,免费评估
72,剑桥安鲁大学Anglia Ruskin University,55.2,84.8,87.8,77.7,17.8,7.8,101.6,6.1,56.6,免费评估
75,布拉德福德大学University of Bradford,54.9,82.1,82.4,70.2,16.0,4.5,127.2,6.0,78.5,免费评估
76,曼彻斯特城市大学Manchester Metropolitan University,54.8,84.6,85.3,75.1,15.6,3.7,132.6,4.2,66.3,免费评估
77,切斯特大学University of Chester,54.7,84.5,87.1,73.1,13.5,5.0,115.5,4.2,64.5,免费评估
78,Plymouth,54.5,84.9,87.2,73.4,16.1,5.2,123.7,5.9,69.6,免费评估
79,蒂赛德大学Teesside University,54.2,83.8,87.4,76.4,16.6,5.4,118.8,4.9,66.9,免费评估
80,利物浦约翰摩尔斯大学Liverpool John Moores University,54.1,83.7,85.6,75.5,17.5,4.0,136.3,6.0,67.4,免费评估
81,金斯顿大学Kingston University,53.8,79.8,80.0,71.0,18.8,6.2,118.3,5.2,64.4,免费评估
81,亚伯大学Aberystwyth University,53.8,92.6,90.8,79.3,16.4,4.6,107.3,3.8,67.7,免费评估
83,龙比亚大学Napier University,53.1,82.3,86.0,71.1,20.3,4.0,147.6,6.6,72.6,免费评估
84,赫尔大学The University of Hull,52.9,86.1,85.3,71.2,16.5,4.7,125.8,4.5,73.0,免费评估
85,谢菲尔德哈莱姆大学Sheffield Hallam University,52.7,84.0,85.8,72.1,16.6,5.0,119.7,6.5,68.5,免费评估
86,波尔顿大学University of Bolton,52.2,81.8,83.1,76.6,15.1,3.4,109.3,4.6,59.2,免费评估
87,卡迪夫都市大学Cardiff Metropolitan University,52.0,77.8,82.4,66.1,17.2,5.0,115.8,5.1,71.3,免费评估
88,伍斯特大学University of Worcester,51.7,84.7,88.2,75.8,16.4,3.9,118.0,5.2,68.2,免费评估
89,格拉斯哥喀里多尼亚大学Glasgow Caledonian University,51.4,84.9,83.6,67.3,19.4,3.7,165.9,5.5,71.1,免费评估
90,温切斯特大学University of Winchester,51.2,85.6,87.2,74.1,15.9,2.6,,6.3,61.3,免费评估
91,布莱顿大学University of Brighton,51.0,79.9,83.7,69.5,17.4,3.7,118.1,5.5,70.7,免费评估
92,伦敦南岸大学London South Bank University,50.6,81.6,83.9,71.6,17.0,4.3,105.9,5.7,75.9,免费评估
93,罗汉普顿大学Roehampton University,50.5,84.0,86.2,71.7,14.3,5.8,107.5,4.7,64.2,免费评估
94,德蒙福特大学De Montfort University,50.4,84.7,84.9,75.2,19.1,3.8,109.7,4.8,75.7,免费评估
95,格林威治大学The University of Greenwich,49.7,81.8,83.1,71.6,17.8,3.6,131.0,5.8,65.3,免费评估
96,阿尔斯特大学University of Ulster,49.6,88.2,87.1,76.1,18.8,3.4,126.4,5.6,65.4,免费评估
97,巴斯斯巴大学Bath Spa University,49.2,84.1,87.4,77.2,18.7,4.4,117.5,5.4,61.1,免费评估
98,贝德福德大学University of Bedfordshire,48.9,84.4,84.0,75.9,16.9,5.8,92.5,6.6,61.9,免费评估
99,索尔福德大学University of Salford,48.6,82.4,84.8,76.5,16.6,3.9,126.5,5.7,60.9,免费评估
100,玛格丽特女王大学Queen Margaret University,48.1,88.7,88.9,71.5,18.1,2.9,136.5,6.3,57.6,免费评估
101,伯明翰城市大学Birmingham City University,48.0,81.6,84.3,74.8,18.7,5.0,119.7,5.4,69.2,免费评估
102,赫特福德大学University of Hertfordshire,47.8,82.9,85.9,70.1,17.6,4.1,118.3,4.2,77.7,免费评估
103,南安普顿索伦特大学Southampton Solent University,47.4,80.5,83.1,70.3,15.5,4.0,100.8,5.6,56.7,免费评估
104,西苏格兰大学University of the West of Scotland,47.0,85.9,87.1,75.4,20.2,3.5,142.9,5.9,70.2,免费评估
105,北安普顿大学The University of Northampton,46.5,84.7,84.8,74.7,18.5,4.5,106.2,6.5,56.9,免费评估
105,"特威克南圣玛丽大学St Mary's, Twickenham",46.5,85.2,87.0,67.9,17.9,3.2,122.1,3.7,69.0,免费评估
107,东伦敦大学University of East London,46.4,80.9,85.7,75.0,16.8,4.4,114.3,5.5,51.9,免费评估
108,威斯敏斯特大学University of Westminster,46.2,81.4,80.9,68.6,17.9,4.3,117.7,6.7,57.0,免费评估
109,坎特伯雷大学Canterbury Christ Church University,45.9,83.2,84.7,73.9,16.3,4.0,112.0,5.9,61.0,免费评估
110,纽曼大学Newman University,44.5,86.6,89.5,75.7,16.1,3.6,116.6,4.4,68.4,免费评估
111,利兹圣三一大学Leeds Trinity University,44.4,80.5,84.0,73.7,21.4,3.4,108.0,7.1,70.2,免费评估
112,圣大卫三一学院University of Wales Trinity Saint David,43.7,80.4,85.5,77.3,15.4,4.0,103.8,5.0,45.7,免费评估
113,"伦敦大学伯克贝克学院Birkbeck, University Of London",42.4,87.7,88.2,73.0,16.0,3.2,104.1,2.9,72.7,免费评估
114,利兹贝克特大学Leeds Beckett University,41.1,85.1,87.3,71.8,19.9,3.7,113.3,4.3,65.7,免费评估
115,Suffolk,39.2,79.1,82.7,73.5,19.2,,112.9,2.5,61.4,免费评估
116,南威尔士大学The University of South Wales,38.4,80.5,83.1,72.4,17.1,3.4,112.7,4.1,55.6,免费评估
117,伦敦都市大学London Metropolitan University,37.2,79.8,82.1,72.4,18.1,2.5,103.9,3.4,59.1,免费评估
118,哥比亚大学University of Cumbria,37.1,79.9,85.7,74.9,17.8,2.5,117.3,3.2,66.5,免费评估
119,约克圣约翰大学York St John University,36.6,81.4,82.9,72.4,17.4,3.9,119.2,2.7,61.9,免费评估
120,新白金汉大学Buckinghamshire New University,32.0,76.8,80.8,72.8,17.5,6.7,108.4,3.5,60.7,免费评估
121,格林多大学Glyndwr University,30.4,78.3,85.4,74.6,20.9,2.6,96.5,3.6,59.8,免费评估
