Rank,Institution,Country Region,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
88,Stockholm University,Sweden,3,25.6,29.6,16.2,19.2,35.1,19.6,25.2,免费评估
88,Texas A&M University - College Station,UnitedStates,50,0.0,0.0,33.2,23.9,54.9,21.1,25.2,免费评估
90,University of Goettingen,Germany,4,33.7,20.0,14.5,16.6,40.7,25.6,24.9,免费评估
91,麦克马斯特大学McMaster University,Canada,4,14.5,18.9,22.9,14.4,45.3,22.6,24.6,免费评估
91,"弗吉尼亚大学University of Virginia,Main Campus",UnitedStates,51,0.0,0.0,33.2,27.0,46.8,25.8,24.6,免费评估
93,印第安纳大学伯明顿主校区Indiana University Bloomington,UnitedStates,52,12.2,17.9,26.2,19.3,40.4,18.2,24.4,免费评估
94,Arizona State University - Tempe,UnitedStates,53,0.0,14.1,22.9,27.6,44.4,19.1,24.3,免费评估
94,伯明翰大学University of Birmingham,UnitedKingdom,11,21.9,10.9,21.8,15.5,45.4,27.4,24.3,免费评估
94,悉尼大学The University of Sydney,Australia,3,17.3,0.0,20.5,18.4,57.4,27.0,24.3,免费评估
97,Aarhus University,Denmark,2,13.4,18.9,7.3,24.0,47.6,26.6,24.2,免费评估
98,University of Bonn,Germany,5,17.3,20.0,14.5,20.9,41.1,24.7,24.1,免费评估
99,莱斯大学Rice University,UnitedStates,54,18.9,21.9,21.8,18.0,30.7,29.5,23.9,免费评估
100,埃默里大学Emory University,UnitedStates,55,0.0,0.0,31.6,22.2,50.4,24.0,23.8,免费评估
