rankingName,rankingUrlCode,rankingYear,subject,rankingUrl,csvFileName
TIMES-Subject,times,2010,机械工程Mechanical Engineering,https://ranking.promisingedu.com/2010-times-en-undergraduate-mechanical_engineering,TIMES_2010_机械工程Mechanical Engineering.csv
TIMES-Subject,times,2010,医学Medicine,https://ranking.promisingedu.com/2010-times-en-undergraduate-medicine,TIMES_2010_医学Medicine.csv
TIMES-Subject,times,2010,中东与非洲研究Middle East and African Studies,https://ranking.promisingedu.com/2010-times-en-undergraduate-middle_east_and_african_studies,TIMES_2010_中东与非洲研究Middle East and African Studies.csv
TIMES-Subject,times,2010,音乐Music,https://ranking.promisingedu.com/2010-times-en-undergraduate-music,TIMES_2010_音乐Music.csv
TIMES-Subject,times,2010,护理学Nursing,https://ranking.promisingedu.com/2010-times-en-undergraduate-nursing,TIMES_2010_护理学Nursing.csv
TIMES-Subject,times,2010,医学相关专业Other Subjects allied to Medicine,https://ranking.promisingedu.com/2010-times-en-undergraduate-other_subjects_allied_to_medicine,TIMES_2010_医学相关专业Other Subjects allied to Medicine.csv
TIMES-Subject,times,2010,药理学与药剂学Pharmacology and Pharmacy,https://ranking.promisingedu.com/2010-times-en-undergraduate-pharmacology_and_pharmacy,TIMES_2010_药理学与药剂学Pharmacology and Pharmacy.csv
TIMES-Subject,times,2010,哲学Philosophy,https://ranking.promisingedu.com/2010-times-en-undergraduate-philosophy,TIMES_2010_哲学Philosophy.csv
TIMES-Subject,times,2010,物理学与天文学Physics and Astronomy,https://ranking.promisingedu.com/2010-times-en-undergraduate-physics_and_astronomy,TIMES_2010_物理学与天文学Physics and Astronomy.csv
TIMES-Subject,times,2010,政治学Politics,https://ranking.promisingedu.com/2010-times-en-undergraduate-politics,TIMES_2010_政治学Politics.csv
TIMES-Subject,times,2010,心理学Psychology,https://ranking.promisingedu.com/2010-times-en-undergraduate-psychology,TIMES_2010_心理学Psychology.csv
TIMES-Subject,times,2010,俄罗斯与东欧语言Russian and Eastern European Languages,https://ranking.promisingedu.com/2010-times-en-undergraduate-russian_and_eastern_european_languages,TIMES_2010_俄罗斯与东欧语言Russian and Eastern European Languages.csv
TIMES-Subject,times,2010,社会政策Social Policy,https://ranking.promisingedu.com/2010-times-en-undergraduate-social_policy,TIMES_2010_社会政策Social Policy.csv
TIMES-Subject,times,2010,社会工作Social Work,https://ranking.promisingedu.com/2010-times-en-undergraduate-social_work,TIMES_2010_社会工作Social Work.csv
TIMES-Subject,times,2010,社会学Socieology,https://ranking.promisingedu.com/2010-times-en-undergraduate-socieology,TIMES_2010_社会学Socieology.csv
TIMES-Subject,times,2010,运动科学Sports Science,https://ranking.promisingedu.com/2010-times-en-undergraduate-sports_science,TIMES_2010_运动科学Sports Science.csv
TIMES-Subject,times,2010,神学与宗教学Theology and Religious Studies,https://ranking.promisingedu.com/2010-times-en-undergraduate-theology_and_religious_studies,TIMES_2010_神学与宗教学Theology and Religious Studies.csv
TIMES-Subject,times,2010,城镇规划与园林Town and Country Planning and Landscape,https://ranking.promisingedu.com/2010-times-en-undergraduate-town_and_country_planning_and_landscape,TIMES_2010_城镇规划与园林Town and Country Planning and Landscape.csv
TIMES-Subject,times,2010,兽医学Veterinary,https://ranking.promisingedu.com/2010-times-en-undergraduate-veterinary,TIMES_2010_兽医学Veterinary.csv
TIMES-Subject,times,2011,会计与金融Accounting and Finance,https://ranking.promisingedu.com/2011-times-en-undergraduate-accounting_and_finance,TIMES_2011_会计与金融Accounting and Finance.csv
